id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
1,4,Graduate,No,5100000,15500000,8,392,6700000,8100000,13600000,6700000,0
2,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,0
3,4,Not Graduate,No,4400000,17000000,18,302,1000000,2100000,14000000,5700000,0
4,1,Not Graduate,Yes,9200000,24500000,4,545,25700000,0,20600000,13300000,0
5,3,Not Graduate,Yes,5900000,18900000,4,742,10800000,4500000,23200000,8000000,1
6,4,Not Graduate,No,9700000,26200000,4,518,26200000,0,22500000,14000000,0
7,5,Graduate,Yes,6900000,23900000,6,382,17100000,6900000,21500000,8900000,0
8,4,Graduate,Yes,5900000,11800000,8,479,11000000,1200000,15700000,3900000,0
9,2,Graduate,No,1700000,5900000,16,610,3100000,300000,3700000,1300000,1
10,1,Not Graduate,Yes,5600000,21000000,2,552,3200000,6300000,22100000,6100000,1
11,2,Graduate,Yes,5000000,15900000,16,699,8800000,5900000,18100000,7200000,1
12,5,Graduate,No,2600000,9100000,8,852,3700000,700000,10300000,3300000,1
13,1,Not Graduate,Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000,0
14,0,Graduate,No,6800000,27000000,4,429,17100000,7600000,21400000,9400000,1
15,4,Graduate,Yes,7000000,27100000,12,881,8300000,9400000,17200000,9500000,1
16,5,Not Graduate,No,2700000,8300000,8,833,4600000,1300000,6800000,3300000,1
17,4,Graduate,No,4700000,17000000,4,364,2900000,4600000,18800000,6200000,1
18,5,Graduate,No,6300000,22500000,18,629,300000,3900000,23100000,8000000,1
19,0,Graduate,No,200000,400000,4,594,500000,0,400000,100000,1
20,5,Not Graduate,No,6000000,24000000,20,639,300000,7300000,15100000,6600000,1
21,1,Not Graduate,No,300000,1200000,4,342,800000,100000,1100000,200000,1
22,4,Not Graduate,No,4900000,10700000,20,321,1200000,400000,11100000,6500000,0
23,0,Not Graduate,Yes,9400000,34200000,10,512,13100000,15600000,32600000,6300000,0
24,5,Graduate,No,3200000,10600000,2,432,6500000,3700000,11200000,3700000,1
25,0,Graduate,Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000,1
26,3,Graduate,No,3100000,8500000,12,493,8700000,5100000,12000000,2000000,0
27,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,1
28,5,Graduate,No,4000000,9100000,10,515,600000,6400000,9900000,5500000,0
29,1,Not Graduate,Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,1
30,4,Graduate,No,2200000,6100000,12,330,5500000,2900000,5000000,2200000,0
31,3,Not Graduate,Yes,700000,2500000,8,321,1900000,1200000,1700000,400000,0
32,5,Graduate,Yes,8800000,21300000,14,852,8000000,6400000,28500000,9900000,1
33,2,Not Graduate,Yes,4900000,13800000,2,586,9900000,1400000,9900000,7000000,1
34,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0
35,3,Graduate,No,8800000,33700000,12,397,17300000,16000000,22200000,8800000,0
36,5,Not Graduate,No,2600000,8200000,4,849,7400000,2000000,8900000,2700000,1
37,4,Graduate,No,5500000,21200000,20,359,4200000,5300000,18600000,6400000,0
38,3,Not Graduate,Yes,8300000,31400000,6,674,1000000,1600000,17200000,6100000,0
39,2,Graduate,No,4300000,9800000,2,499,4400000,4500000,12600000,5100000,0
40,5,Graduate,Yes,4400000,17300000,20,840,3600000,5100000,12900000,2300000,1
41,3,Graduate,Yes,4100000,10600000,14,475,5400000,4300000,13900000,4500000,0
42,1,Not Graduate,Yes,5000000,16900000,12,517,2200000,1500000,15500000,5400000,0
43,0,Not Graduate,Yes,5100000,11600000,10,308,8700000,1300000,10700000,7000000,0
44,2,Graduate,Yes,7100000,18800000,12,838,1100000,5200000,16600000,4900000,1
45,0,Not Graduate,Yes,9900000,38200000,6,573,17200000,10000000,20100000,5900000,1
46,2,Not Graduate,No,1900000,4500000,6,805,2200000,3100000,4800000,2300000,1
47,4,Not Graduate,Yes,3800000,8200000,4,309,10900000,3900000,10200000,3300000,0
48,4,Graduate,Yes,4900000,17100000,6,612,1300000,7000000,19500000,5000000,1
49,2,Graduate,Yes,900000,2500000,16,458,-100000,100000,3200000,1100000,0
50,4,Graduate,Yes,5000000,19600000,18,611,13400000,4400000,14400000,4600000,1
