Source,Target,Weight
US6923971-B2,US7662397-B2,1
US6923971-B2,US7465574-B2,1
US6228423-B1,US7939318-B2,1
US10064934-B2,US10695419-B2,1
US10064934-B2,US10383937-B2,1
US10064934-B2,US10933127-B2,1
US10064934-B2,US11207398-B2,1
US10064934-B2,US10716846-B2,1
US10064934-B2,US11484590-B2,1
US10064934-B2,US10493143-B2,1
US10064934-B2,US10925958-B2,1
US10064934-B2,US10272150-B2,1
US10064934-B2,US10702599-B2,1
US10064934-B2,US11406703-B2,1
US10064934-B2,US11103578-B2,1
US10064934-B2,US11497807-B2,1
US10064934-B2,US10709779-B2,1
US10064934-B2,US10273269-B2,1
US10064934-B2,US10449244-B2,1
US10064934-B2,US11364292-B2,1
WO2008100292-A3,US8066984-B2,1
WO2008100292-A3,US9005602-B2,1
WO2008100292-A3,US9944903-B2,1
WO2008100292-A3,US8221769-B2,1
US9512073-B2,US10189802-B2,1
US9512073-B2,US10117934-B2,1
US9512073-B2,US10201618-B2,1
US9512073-B2,US10086013-B2,1
US6468544-B1,US7588768-B2,1
US6468544-B1,US6866853-B2,1
US6468544-B1,EP2039773-A1,1
US6468544-B1,US7731974-B2,1
US6468544-B1,US7494808-B2,1
US9868693-B2,US10266485-B2,1
US9868693-B2,US10392341-B2,1
US9868693-B2,US10442756-B2,1
US9868693-B2,US10799463-B2,1
US9868693-B2,US10857105-B2,1
US5639650-A,US8617533-B2,1
US5639650-A,US6783939-B2,1
US5639650-A,US7850977-B2,1
US5639650-A,EP2947149-A1,1
US5639650-A,US7045335-B2,1
US5639650-A,US7425337-B2,1
US5639650-A,US6156558-A,1
US5639650-A,US6521235-B2,1
US5639650-A,US6531135-B1,1
US5639650-A,US6541010-B1,1
US5639650-A,US7235235-B2,1
US5639650-A,US7862829-B2,1
US5639650-A,US7078218-B2,1
US8841433-B2,US10064934-B2,1
US8841433-B2,US10933127-B2,1
US8841433-B2,US10272150-B2,1
US8841433-B2,US10702599-B2,1
US8841433-B2,US11103578-B2,1
US5690937-A,US8097459-B2,1
US5690937-A,US8093033-B2,1
US5690937-A,US7566458-B2,1
US5690937-A,US8591914-B2,1
