node,networkEfficiency_before,ClusteringCoefficient_before,networkEfficiency_after,ClusteringCoefficient_after,connectivity_after,efficiency_change,clustering_change,efficiency_change_percentile,clustering_change_percentile,connectivity_after_percentile
US8628801-B2,0.197230574499739,0.2848666736292494,0.1970617386091051,0.2845624048219542,0.99812734082397,0.0001688358906338,0.0003042688072952,0.7883895131086143,0.647003745318352,0.5814606741573034
US7465794-B2,0.197230574499739,0.2848666736292494,0.1970828018584193,0.285080654361411,0.99812734082397,0.0001477726413196,-0.0002139807321616,0.7659176029962547,0.5393258426966292,0.5814606741573034
US7332169-B2,0.197230574499739,0.2848666736292494,0.1971065618973089,0.2854317877095536,0.99812734082397,0.00012401260243,-0.0005651140803041,0.7284644194756554,0.33801498127340823,0.5814606741573034
US8415322-B2,0.197230574499739,0.2848666736292494,0.1977895166813982,0.2821155458358756,0.99625468164794,-0.0005589421816591,0.0027511277933737,0.0449438202247191,0.9719101123595506,0.11797752808988764
US6060308-A,0.197230574499739,0.2848666736292494,0.1962456107196676,0.2853944320627538,0.99812734082397,0.0009849637800713,-0.0005277584335043,0.9681647940074907,0.47752808988764045,0.5814606741573034
US8163530-B2,0.197230574499739,0.2848666736292494,0.1972514393434961,0.2854275915236806,0.99812734082397,-2.086484375710129e-05,-0.0005609178944311,0.44569288389513106,0.34269662921348315,0.5814606741573034
US6517842-B1,0.197230574499739,0.2848666736292494,0.1973392942386911,0.2854618323812301,0.99812734082397,-0.0001087197389521,-0.0005951587519806,0.32397003745318353,0.3136704119850187,0.5814606741573034
CN103052400-A,0.197230574499739,0.2848666736292494,0.1972644234197692,0.2856512890269279,0.99812734082397,-3.384892003024942e-05,-0.0007846153976784,0.41385767790262173,0.20224719101123595,0.5814606741573034
US8617533-B2,0.197230574499739,0.2848666736292494,0.1973225251072581,0.2859472665906824,0.99438202247191,-9.19506075190979e-05,-0.0010805929614329,0.3389513108614232,0.1254681647940075,0.06367041198501873
EP1185615-B1,0.197230574499739,0.2848666736292494,0.1972617555393275,0.2854916925258679,0.99812734082397,-3.1181039588573656e-05,-0.0006250188966184,0.4232209737827715,0.2883895131086142,0.5814606741573034
EP780475-A1,0.197230574499739,0.2848666736292494,0.19633056682126,0.2868841800715598,0.99625468164794,0.0009000076784789,-0.0020175064423104,0.9625468164794008,0.04868913857677903,0.11797752808988764
US11433142-B2,0.197230574499739,0.2848666736292494,0.1971984115375725,0.2850074998681486,0.99812734082397,3.216296216643211e-05,-0.0001408262388992,0.5636704119850188,0.5514981273408239,0.5814606741573034
US7531180-B2,0.197230574499739,0.2848666736292494,0.1973587668984892,0.2854011326792105,0.99812734082397,-0.0001281923987501,-0.000534459049961,0.28651685393258425,0.4288389513108614,0.5814606741573034
US9255126-B2,0.197230574499739,0.2848666736292494,0.197160999776962,0.2861017017017308,0.99625468164794,6.957472277691057e-05,-0.0012350280724813,0.6367041198501873,0.09925093632958802,0.11797752808988764
WO2003070909-A3,0.197230574499739,0.2848666736292494,0.197363356678467,0.2854011326792105,0.99812734082397,-0.000132782178728,-0.000534459049961,0.28277153558052437,0.4288389513108614,0.5814606741573034
US7312064-B2,0.197230574499739,0.2848666736292494,0.1971891716344492,0.2842901931524132,0.99812734082397,4.14028652897247e-05,0.0005764804768362,0.5861423220973783,0.7228464419475655,0.5814606741573034
WO2008153541-A1,0.197230574499739,0.2848666736292494,0.1972639055215519,0.2842548118330773,0.99812734082397,-3.333102181299341e-05,0.0006118617961721,0.41947565543071164,0.7378277153558053,0.5814606741573034
US7993924-B2,0.197230574499739,0.2848666736292494,0.1970745674333505,0.2845559420322416,0.99812734082397,0.0001560070663884,0.0003107315970078,0.7715355805243446,0.651685393258427,0.5814606741573034
US9011835-B2,0.197230574499739,0.2848666736292494,0.1973150480683574,0.284195021717002,0.99812734082397,-8.44735686184317e-05,0.0006716519122473,0.34269662921348315,0.7453183520599251,0.5814606741573034
US7338759-B1,0.197230574499739,0.2848666736292494,0.1969359523220977,0.2845255854621999,0.99812734082397,0.0002946221776412,0.0003410881670495,0.8576779026217228,0.6629213483146067,0.5814606741573034
US8569472-B2,0.197230574499739,0.2848666736292494,0.1975487258088571,0.2854011326792105,0.99812734082397,-0.0003181513091181,-0.000534459049961,0.09925093632958802,0.4288389513108614,0.5814606741573034
US9650634-B2,0.197230574499739,0.2848666736292494,0.1972406360962951,0.284708222516907,0.99812734082397,-1.006159655614347e-05,0.0001584511123424,0.4794007490636704,0.6104868913857678,0.5814606741573034
US5993824-A,0.197230574499739,0.2848666736292494,0.1970843524605572,0.284640879791933,0.99812734082397,0.0001462220391817,0.0002257938373164,0.7602996254681648,0.6310861423220974,0.5814606741573034
US6866853-B2,0.197230574499739,0.2848666736292494,0.1971890544908051,0.2833026891173523,0.99812734082397,4.152000893389851e-05,0.001563984511897,0.5880149812734082,0.8838951310861424,0.5814606741573034
US6296854-B1,0.197230574499739,0.2848666736292494,0.1967724015328394,0.2849029540052474,0.99250936329588,0.0004581729668995,-3.628037599795464e-05,0.9157303370786517,0.5730337078651685,0.04588014981273408
US6448073-B1,0.197230574499739,0.2848666736292494,0.1974542172174131,0.2855887499399985,0.99812734082397,-0.0002236427176741,-0.000722076310749,0.1704119850187266,0.2340823970037453,0.5814606741573034
US5871962-A,0.197230574499739,0.2848666736292494,0.1976154639142952,0.2854011326792105,0.99812734082397,-0.0003848894145562,-0.000534459049961,0.08239700374531835,0.4288389513108614,0.5814606741573034
US5690937-A,0.197230574499739,0.2848666736292494,0.1972362461749223,0.2856471655706467,0.99812734082397,-5.671675183338554e-06,-0.0007804919413972,0.4887640449438202,0.21722846441947566,0.5814606741573034
WO2003002604-A3,0.197230574499739,0.2848666736292494,0.1971173559648327,0.2854139767079365,0.99812734082397,0.0001132185349062,-0.0005473030786871,0.7116104868913857,0.36704119850187267,0.5814606741573034
WO2012159754-A3,0.197230574499739,0.2848666736292494,0.1979383185237066,0.2883674506848357,0.9868913857677902,-0.0007077440239676,-0.0035007770555863,0.03932584269662921,0.016853932584269662,0.020599250936329586
US7192593-B2,0.197230574499739,0.2848666736292494,0.1971874283178053,0.284446193309637,0.99812734082397,4.314618193365649e-05,0.0004204803196124,0.5955056179775281,0.6853932584269663,0.5814606741573034
