Source,Target,Weight
US7465794-B2,US5716821-A,1
US7465794-B2,US5869036-A,1
US7465794-B2,US5993824-A,1
US7465794-B2,US6033886-A,1
US7332169-B2,EP780475-A1,1
US7332169-B2,US6033886-A,1
US7332169-B2,US6146642-A,1
US8415322-B2,US5610054-A,1
US8415322-B2,US5869253-A,1
US8415322-B2,US7429572-B2,1
US8415322-B2,WO2005003147-A3,1
US8163530-B2,US5840520-A,1
US8163530-B2,US6713066-B1,1
CN103052400-A,US6790449-B2,1
US8617533-B2,US5639650-A,1
US8617533-B2,US5766602-A,1
US8617533-B2,US6156558-A,1
US8617533-B2,US6261570-B1,1
US8617533-B2,US6391632-B1,1
US8617533-B2,US6426196-B1,1
US8617533-B2,US6451592-B1,1
US8617533-B2,US6517842-B1,1
US8617533-B2,US6531135-B1,1
US8617533-B2,US6541010-B1,1
US8617533-B2,US6632640-B1,1
US8617533-B2,US6770479-B1,1
US8617533-B2,US6495143-B2,1
US8617533-B2,US6521235-B2,1
US8617533-B2,US6767699-B2,1
US8617533-B2,US6783939-B2,1
US8617533-B2,US7078218-B2,1
US11433142-B2,US11141377-B2,1
US11433142-B2,US7045335-B2,1
US11433142-B2,US7425337-B2,1
US11433142-B2,US9655845-B2,1
US11433142-B2,US10307374-B2,1
US9255126-B2,US6261570-B1,1
US9255126-B2,US7531180-B2,1
US9255126-B2,US7572453-B2,1
US7312064-B2,US5840520-A,1
US7312064-B2,US6951754-B2,1
US7993924-B2,US5840520-A,1
US7993924-B2,US6033886-A,1
US9011835-B2,US7888112-B2,1
US7338759-B1,US5610054-A,1
US7338759-B1,US5874565-A,1
US7338759-B1,US6127116-A,1
US7338759-B1,US6153421-A,1
US7338759-B1,US6630343-B1,1
US8569472-B2,EP1801209-A1,1
US8569472-B2,EP1930416-A1,1
US8569472-B2,US7935676-B2,1
US9650634-B2,US6156558-A,1
US9650634-B2,US6531135-B1,1
US9650634-B2,US6541010-B1,1
US9650634-B2,US6521235-B2,1
US9650634-B2,US7045335-B2,1
US9650634-B2,US7537768-B2,1
US9650634-B2,US7862829-B2,1
US5993824-A,US5716821-A,1
US6866853-B2,US6468544-B1,1
US6866853-B2,EP780475-A1,1
US5871962-A,US5514539-A,1
US7192593-B2,US5869036-A,1
US7192593-B2,US5993824-A,1
US7192593-B2,US6264957-B1,1
US7192593-B2,US6689367-B1,1
US7192593-B2,US6699476-B1,1
US7785603-B2,US7105574-B1,1
US7785603-B2,US7250404-B2,1
US7384774-B2,EP780475-A1,1
US7384774-B2,US5716821-A,1
US7384774-B2,US5840520-A,1
US7384774-B2,US6033886-A,1
US7384774-B2,US6146642-A,1
US7384774-B2,US6544785-B1,1
US7384774-B2,US6649372-B1,1
US7659103-B2,US6630343-B1,1
US7939318-B2,US5877159-A,1
US7939318-B2,US6033895-A,1
US7939318-B2,US6037456-A,1
US7939318-B2,US6228423-B1,1
US7939318-B2,US6303779-B1,1
US7939318-B2,US6589529-B1,1
US6544785-B1,EP780475-A1,1
US6544785-B1,US5716821-A,1
US6544785-B1,US5840520-A,1
US6544785-B1,US6033886-A,1
US6544785-B1,US6146642-A,1
US7537768-B2,US7105574-B1,1
US7537768-B2,US7250404-B2,1
US11376335-B2,US7045335-B2,1
US11376335-B2,US7425337-B2,1
US11376335-B2,US9655845-B2,1
US11376335-B2,US10307374-B2,1
US11376335-B2,US11141377-B2,1
US9474798-B2,US6169175-B1,1
US9474798-B2,US8057806-B2,1
US7588768-B2,EP780475-A1,1
US7588768-B2,EP780475-B1,1
US7588768-B2,US6146642-A,1
US7588768-B2,US6468544-B1,1
US7588768-B2,US6544785-B1,1
US7588768-B2,US6669943-B1,1
US7588768-B2,US6852522-B1,1
