PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
WO2012135025-A3,0,2,2,0.014860449097755973,0.197230574499739,0.0,0,0.0,534,0.2682
US9238716-B2,3,5,8,0.014860449097755973,0.197230574499739,0.0,0,0.7142857142857143,534,0.2682
EP2532649-A1,0,9,9,0.014860449097755973,0.197230574499739,0.0,0,0.4722222222222222,534,0.2682
US8450298-B2,0,16,16,0.014860449097755973,0.197230574499739,0.0,0,0.21666666666666667,534,0.2682
US8969353-B2,2,8,10,0.014860449097755973,0.197230574499739,8.421527783041233e-07,0,0.6,534,0.2682
WO2011058080-A1,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
WO2008014979-A3,1,6,7,0.014860449097755973,0.197230574499739,1.0105833339649479e-06,0,0.47619047619047616,534,0.2682
WO2006116458-A2,0,7,7,0.014860449097755973,0.197230574499739,0.0,0,0.0,534,0.2682
US5716821-A,0,31,31,0.014860449097755973,0.197230574499739,0.0,0,0.16129032258064516,534,0.2682
US5869036-A,0,16,16,0.014860449097755973,0.197230574499739,0.0,0,0.125,534,0.2682
US5993824-A,1,9,10,0.014860449097755973,0.197230574499739,8.210989588465202e-07,0,0.2222222222222222,534,0.2682
US6033886-A,0,46,46,0.014860449097755973,0.197230574499739,0.0,0,0.05507246376811594,534,0.2682
US6264957-B1,1,10,11,0.014860449097755973,0.197230574499739,6.947760421009017e-07,0,0.23636363636363636,534,0.2682
US6689367-B1,4,3,7,0.014860449097755973,0.197230574499739,1.2000677090833756e-06,0,0.23809523809523808,534,0.2682
US6699476-B1,5,5,10,0.014860449097755973,0.197230574499739,7.705697921482727e-06,0,0.3111111111111111,534,0.2682
US6713066-B1,0,2,2,0.014860449097755973,0.197230574499739,0.0,0,0.0,534,0.2682
US7465794-B2,4,1,5,0.014860449097755973,0.197230574499739,4.421302086096647e-07,0,0.2,534,0.2682
US7842798-B2,4,0,4,0.014860449097755973,0.197230574499739,0.0,0,0.3333333333333333,534,0.2682
US8748103-B2,2,2,4,0.014860449097755973,0.7321428571428571,1.2632291674561849e-07,0,0.5,8,0.004
US6087096-A,0,4,4,0.014860449097755973,0.7321428571428571,0.0,0,0.6666666666666666,8,0.004
WO2012048340-A3,0,3,3,0.014860449097755973,0.7321428571428571,0.0,0,0.6666666666666666,8,0.004
WO2003072720-A3,0,2,2,0.014860449097755973,0.197230574499739,0.0,0,0.0,534,0.2682
EP780475-A1,0,22,22,0.014860449097755973,0.197230574499739,0.0,0,0.06926406926406926,534,0.2682
US6146642-A,1,35,36,0.014860449097755973,0.197230574499739,8.210989588465201e-06,0,0.11746031746031746,534,0.2682
US7192593-B2,5,0,5,0.014860449097755973,0.197230574499739,0.0,0,0.5,534,0.2682
US7238481-B2,1,2,3,0.014860449097755973,0.197230574499739,0.0,0,0.6666666666666666,534,0.2682
US7341729-B2,3,2,5,0.014860449097755973,0.197230574499739,0.0,0,0.8,534,0.2682
US7449324-B2,3,7,10,0.014860449097755973,0.197230574499739,4.547625002842265e-06,0,0.4444444444444444,534,0.2682
US7678376-B2,6,0,6,0.014860449097755973,0.197230574499739,0.0,0,0.4,534,0.2682
US7704509-B2,2,2,4,0.014860449097755973,0.197230574499739,1.5158750009474219e-05,0,0.16666666666666666,534,0.2682
US7704720-B2,3,5,8,0.014860449097755973,0.197230574499739,4.547625002842265e-06,0,0.14285714285714285,534,0.2682
US8084037-B2,6,0,6,0.014860449097755973,0.197230574499739,0.0,0,0.4,534,0.2682
US8841433-B2,9,5,14,0.014860449097755973,0.197230574499739,2.2738125014211326e-05,0,0.13186813186813187,534,0.2682
US9567653-B2,9,5,14,0.014860449097755973,0.197230574499739,2.2738125014211326e-05,0,0.13186813186813187,534,0.2682
US7528384-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US5741696-A,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
WO2003000928-A3,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US7353658-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US6797476-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
WO2004031414-A3,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
CN102458359-A,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US6420135-B1,0,24,24,0.014860449097755973,0.6440886699507387,0.0,0,0.30434782608695654,29,0.0146
US6936252-B2,1,22,23,0.014860449097755973,0.6440886699507387,0.0,0,0.25691699604743085,29,0.0146
US7767387-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US6387662-B1,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US5945277-A,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US7709007-B2,6,0,6,0.014860449097755973,0.197230574499739,0.0,0,0.4666666666666667,534,0.2682
US5840520-A,0,26,26,0.014860449097755973,0.197230574499739,0.0,0,0.16923076923076924,534,0.2682
US7834064-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US7981673-B2,0,0,0,0.014860449097755973,0.0,0.0,0,0.0,1,0.0005
US6258788-B1,0,3,3,0.014860449097755973,0.9166666666666666,0.0,0,0.6666666666666666,4,0.002
