Source,Target,Weight
US9238716-B2,EP2532649-A1,1
US9238716-B2,US8450298-B2,1
US9238716-B2,US8969353-B2,1
US8969353-B2,EP2365962-A2,1
US8969353-B2,US8450298-B2,1
WO2008014979-A3,WO2006116458-A2,1
US5993824-A,US5716821-A,1
US6264957-B1,US5716821-A,1
US6689367-B1,US5716821-A,1
US6689367-B1,US5840520-A,1
US6689367-B1,US5869036-A,1
US6689367-B1,US6264957-B1,1
US6699476-B1,US5716821-A,1
US6699476-B1,US5869036-A,1
US6699476-B1,US5993824-A,1
US6699476-B1,US6033886-A,1
US6699476-B1,US6264957-B1,1
US7465794-B2,US5716821-A,1
US7465794-B2,US5869036-A,1
US7465794-B2,US5993824-A,1
US7465794-B2,US6033886-A,1
US7842798-B2,US5993824-A,1
US7842798-B2,US6264957-B1,1
US7842798-B2,US6689367-B1,1
US7842798-B2,US7465794-B2,1
US8748103-B2,US6087096-A,1
US8748103-B2,WO2012048340-A3,1
US6146642-A,US5716821-A,1
US7192593-B2,US5869036-A,1
US7192593-B2,US5993824-A,1
US7192593-B2,US6264957-B1,1
US7192593-B2,US6689367-B1,1
US7192593-B2,US6699476-B1,1
US7238481-B2,US5869036-A,1
US7341729-B2,US6764685-B1,1
US7341729-B2,US6811784-B2,1
US7341729-B2,US5869036-A,1
US7449324-B2,EP780475-A1,1
US7449324-B2,US5869036-A,1
US7449324-B2,US6146642-A,1
US7678376-B2,US5869036-A,1
US7678376-B2,US6033886-A,1
US7678376-B2,US6764685-B1,1
US7678376-B2,US6811784-B2,1
US7678376-B2,US7238481-B2,1
US7678376-B2,US7341729-B2,1
US7704509-B2,US5993824-A,1
US7704509-B2,US6699476-B1,1
US7704720-B2,EP780475-A1,1
US7704720-B2,US5869036-A,1
US7704720-B2,US6146642-A,1
US8084037-B2,US5869036-A,1
US8084037-B2,US6033886-A,1
US8084037-B2,US6764685-B1,1
US8084037-B2,US6811784-B2,1
US8084037-B2,US7238481-B2,1
US8084037-B2,US7341729-B2,1
US8841433-B2,EP780475-A1,1
US8841433-B2,US5869036-A,1
US8841433-B2,US6033886-A,1
US8841433-B2,US6146642-A,1
US8841433-B2,US7449324-B2,1
US8841433-B2,US7704509-B2,1
US8841433-B2,WO2003043587-A3,1
US8841433-B2,WO2003072720-A3,1
US8841433-B2,WO2003097089-A3,1
US9567653-B2,EP780475-A1,1
US9567653-B2,US5869036-A,1
US9567653-B2,US6033886-A,1
US9567653-B2,US6146642-A,1
US9567653-B2,US7449324-B2,1
US9567653-B2,US7704509-B2,1
US9567653-B2,WO2003043587-A3,1
US9567653-B2,WO2003072720-A3,1
US9567653-B2,WO2003097089-A3,1
US6936252-B2,US6420135-B1,1
US7709007-B2,US5716821-A,1
US7709007-B2,US5869036-A,1
US7709007-B2,US5993824-A,1
US7709007-B2,US6033886-A,1
US7709007-B2,US6264957-B1,1
US7709007-B2,US6699476-B1,1
US6923971-B2,US6264957-B1,1
US7662397-B2,US5993824-A,1
US7662397-B2,US6264957-B1,1
US7662397-B2,US6689367-B1,1
US7662397-B2,US6699476-B1,1
US7662397-B2,US6713066-B1,1
US7662397-B2,US6923971-B2,1
US8028532-B2,US7104074-B2,1
US6265188-B1,US5882892-A,1
US8961960-B2,WO2011139799-A3,1
US8961960-B2,WO2011139854-A3,1
US8961960-B2,WO2011139986-A3,1
US7368556-B2,US7029845-B2,1
US8357791-B2,US7029845-B2,1
US8357791-B2,US7368556-B2,1
US8968746-B2,EP1905844-A2,1
US8968746-B2,WO2006116458-A2,1
US8968746-B2,WO2003028656-A3,1
US8968746-B2,WO2003059381-A3,1
US8968746-B2,WO2004092329-A3,1
US8968746-B2,WO2006029223-A3,1
US9421255-B2,US8968746-B2,1
US9421255-B2,EP1905844-A2,1
US8604179-B2,EP1801209-A1,1
US2011293703-A1,US8450298-B2,1
US9556110-B2,US8450298-B2,1
US9556110-B2,US8969353-B2,1
US9556110-B2,EP2532649-A1,1
US10189802-B2,US8450298-B2,1
US10189802-B2,US8969353-B2,1
US10189802-B2,US9556110-B2,1
US10189802-B2,EP2532649-A1,1
US10189802-B2,US9238716-B2,1
US10189802-B2,US9439968-B2,1
US10189802-B2,US9512073-B2,1
US10189802-B2,WO2005055979-A2,1
US9439968-B2,EP2532649-A1,1
US9439968-B2,EP2365962-A2,1
US9439968-B2,US8450298-B2,1
US9439968-B2,US8969353-B2,1
US9512073-B2,EP2532649-A1,1
US9512073-B2,EP2365962-A2,1
US9512073-B2,US8450298-B2,1
US9512073-B2,US8969353-B2,1
US9512073-B2,US9238716-B2,1
US6156558-A,US5639650-A,1
US6156558-A,US5766602-A,1
US6531135-B1,US5639650-A,1
US6531135-B1,US5766602-A,1
