PatentNumber,InDegree,OutDegree,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US5827729-A,0,2,2,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US2014342445-A1,4,0,4,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US10087422-B2,12,0,12,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20020072116-A1,0,2,2,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20110053207-A1,0,4,4,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US10954482-B2,212,0,212,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US11773359-B2,212,0,212,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20110250585-A1,0,4,4,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20080220516-A1,0,1,1,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20100267136-A1,0,3,3,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20130309677-A1,0,1,1,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20140342445-A1,0,1,1,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US8968543-B2,0,1,1,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
WO2006047758-A1,0,3,3,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
WO2008051265-A2,0,3,3,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
WO2010009307-A2,0,4,4,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US2020392441-A1,2,0,2,0.05476740983232111,0.406168718032689,0.0,0,0.0,275,0.3468
US20090275072-A1,0,1,1,0.05476740983232111,1.0,0.0,0,0.0,2,0.0025
US2019032021-A1,1,0,1,0.05476740983232111,1.0,0.0,0,0.0,2,0.0025
WO2019036666-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US11732226-B2,17,0,17,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20040038420-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20100267142-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20120101268-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20180126037-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20180216058-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20180223251-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20180230415-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20180312810-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US20200190456-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US6867048-B2,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US8003378-B2,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US10360819-B2,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
US10633623-B2,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
WO2013086486-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
WO2019191111-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
WO2020073043-A1,0,1,1,0.05476740983232111,0.5555555555555556,0.0,0,0.0,18,0.0227
CN107828655-A,0,1,1,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
EP3830244-A4,5,0,5,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
EP3138904-A1,0,1,1,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
US5554536-A,0,1,1,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
WO2003100417-A1,0,1,1,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
WO2018079793-A1,0,1,1,0.05476740983232111,0.6666666666666666,0.0,0,0.0,6,0.0076
US20060270032-A1,0,1,1,0.05476740983232111,0.75,0.0,0,0.0,4,0.005
US11654161-B2,3,0,3,0.05476740983232111,0.75,0.0,0,0.0,4,0.005
US20070015210-A1,0,1,1,0.05476740983232111,0.75,0.0,0,0.0,4,0.005
US20150267164-A1,0,1,1,0.05476740983232111,0.75,0.0,0,0.0,4,0.005
US20120209378-A1,0,1,1,0.05476740983232111,1.0,0.0,0,0.0,2,0.0025
