PatentFamily,PatentNumber,CitedPatents
WO2023230462-A2;WO2023230462-A3,WO2023230462-A2,
WO2023230462-A2;WO2023230462-A3,WO2023230462-A3,
WO2013086502-A1;US2014342445-A1;US10087422-B2;US2019032021-A1,WO2013086502-A1,
WO2013086502-A1;US2014342445-A1;US10087422-B2;US2019032021-A1,US2014342445-A1,US5827729-A;US20020072116-A1;US20110053207-A1;US20110250585-A1
WO2013086502-A1;US2014342445-A1;US10087422-B2;US2019032021-A1,US10087422-B2,US5827729-A;US20020072116-A1;US20110053207-A1;US20110250585-A1;US20080220516-A1;US20100267136-A1;US20130309677-A1;US20140342445-A1;US8968543-B2;WO2006047758-A1;WO2008051265-A2;WO2010009307-A2
WO2013086502-A1;US2014342445-A1;US10087422-B2;US2019032021-A1,US2019032021-A1,US20090275072-A1
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,WO2021216955-A1,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,AU2021258264-A1,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,CA3176165-A1,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,EP4139436-A1,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,US2023078827-A1,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,CN115943204-A,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,JP2023523427-W,
WO2021216955-A1;AU2021258264-A1;CA3176165-A1;EP4139436-A1;US2023078827-A1;CN115943204-A;JP2023523427-W;US11732226-B2,US11732226-B2,WO2019036666-A1;US20040038420-A1;US20100267142-A1;US20120101268-A1;US20180126037-A1;US20180216058-A1;US20180223251-A1;US20180230415-A1;US20180312810-A1;US20200190456-A1;US6867048-B2;US8003378-B2;US10360819-B2;US10633623-B2;WO2013086486-A1;WO2019191111-A1;WO2020073043-A1
US2023383225-A1,US2023383225-A1,
WO2020023904-A1;EP3830244-A1;US2021230527-A1;EP3830244-A4,WO2020023904-A1,
WO2020023904-A1;EP3830244-A1;US2021230527-A1;EP3830244-A4,EP3830244-A1,
WO2020023904-A1;EP3830244-A1;US2021230527-A1;EP3830244-A4,US2021230527-A1,
WO2020023904-A1;EP3830244-A1;US2021230527-A1;EP3830244-A4,EP3830244-A4,CN107828655-A;EP3138904-A1;US5554536-A;WO2003100417-A1;WO2018079793-A1
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,WO2017139638-A1,
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,US2019046583-A1,
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,EP3442543-A1,
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,EP3442543-A4,
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,US2020121725-A1,
WO2017139638-A1;US2019046583-A1;EP3442543-A1;EP3442543-A4;US2020121725-A1;US11654161-B2,US11654161-B2,US20060270032-A1;US20070015210-A1;US20150267164-A1
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,WO2019191111-A1,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,CN112166179-A,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,KR2021005606-A,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,IN202017046497-A,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,EP3775154-A1,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,US2021108178-A1,US20120209378-A1
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,CA3133741-A1,
WO2019191111-A1;CN112166179-A;KR2021005606-A;IN202017046497-A;EP3775154-A1;US2021108178-A1;CA3133741-A1;EP3775154-A4,EP3775154-A4,
US2023420079-A1,US2023420079-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,WO2021216848-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,AU2021261373-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,CA3180861-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,KR2023004683-A,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,EP4139048-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,CN115812008-A,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,US2023147702-A1,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,JP2023523250-W,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,IN202217060473-A,
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,EP4139048-A4,US20140273223-A1;US20140302594-A1;WO2017143049-A1
WO2021216848-A1;AU2021261373-A1;CA3180861-A1;KR2023004683-A;EP4139048-A1;CN115812008-A;US2023147702-A1;JP2023523250-W;IN202217060473-A;EP4139048-A4;HK40083377-A0,HK40083377-A0,
KR2022133679-A;KR2515586-B1,KR2022133679-A,
KR2022133679-A;KR2515586-B1,KR2515586-B1,
WO2017147145-A1;US2019085185-A1;US10995225-B2,WO2017147145-A1,
WO2017147145-A1;US2019085185-A1;US10995225-B2,US2019085185-A1,
WO2017147145-A1;US2019085185-A1;US10995225-B2,US10995225-B2,EP954965-A1;US20090269380-A1;US20140364391-A1;US20150064455-A1;WO2015066171-A1
US2021156846-A1;WO2021108554-A2;WO2021108554-A3,US2021156846-A1,
US2021156846-A1;WO2021108554-A2;WO2021108554-A3,WO2021108554-A2,
US2021156846-A1;WO2021108554-A2;WO2021108554-A3,WO2021108554-A3,WO2018187380-A1
WO2022236119-A1;US2022356433-A1;CA3217992-A1;AU2022270167-A1,WO2022236119-A1,
WO2022236119-A1;US2022356433-A1;CA3217992-A1;AU2022270167-A1,US2022356433-A1,US20140335496-A1;WO2020028720-A1
WO2022236119-A1;US2022356433-A1;CA3217992-A1;AU2022270167-A1,CA3217992-A1,
WO2022236119-A1;US2022356433-A1;CA3217992-A1;AU2022270167-A1,AU2022270167-A1,
WO2020188243-A1;CN113840907-A;EP3942015-A1;US2022162534-A1;JP2022526737-W,WO2020188243-A1,
WO2020188243-A1;CN113840907-A;EP3942015-A1;US2022162534-A1;JP2022526737-W,CN113840907-A,CN104822821-A;CN106232801-A;CN107949635-A;CN109152797-A;US20030215941-A1;WO2017164797-A1
WO2020188243-A1;CN113840907-A;EP3942015-A1;US2022162534-A1;JP2022526737-W,EP3942015-A1,
WO2020188243-A1;CN113840907-A;EP3942015-A1;US2022162534-A1;JP2022526737-W,US2022162534-A1,
WO2020188243-A1;CN113840907-A;EP3942015-A1;US2022162534-A1;JP2022526737-W,JP2022526737-W,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,WO2019122349-A1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,AU2018386638-A1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,CA3086392-A1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,KR2020104337-A,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,CN111655837-A,CN102124096-A;CN106459898-A;US20140308688-A1
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,SG11202005061-A1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,EP3728552-A1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,US2020392441-A1,WO2014052835-A1;WO2010009307-A2
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,BR112020012381-A2,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,JP2021508242-W,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,EP3728552-B1,WO2013086329-A1
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,ES2882582-T3,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,IL275537-A,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,IL275537-B,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,BR112020012381-B1,
WO2019122349-A1;AU2018386638-A1;CA3086392-A1;KR2020104337-A;CN111655837-A;SG11202005061-A1;EP3728552-A1;US2020392441-A1;BR112020012381-A2;JP2021508242-W;EP3728552-B1;ES2882582-T3;IL275537-A;IL275537-B;BR112020012381-B1;JP7396678-B2,JP7396678-B2,
WO2023009645-A1,WO2023009645-A1,
WO2023034381-A1,WO2023034381-A1,
WO2021067948-A1;US2021101146-A1;US11738340-B2;US2023330668-A1,WO2021067948-A1,
WO2021067948-A1;US2021101146-A1;US11738340-B2;US2023330668-A1,US2021101146-A1,US20030152646-A1;US20130203086-A1;US20170015964-A1;US20210324316-A1
WO2021067948-A1;US2021101146-A1;US11738340-B2;US2023330668-A1,US11738340-B2,US20030152646-A1;US20130203086-A1;US20170015964-A1;US20210324316-A1;US20110154655-A1;US20140142370-A1;US20150031116-A1;WO2013116834-A2;WO2015157390-A9
WO2021067948-A1;US2021101146-A1;US11738340-B2;US2023330668-A1,US2023330668-A1,
WO2018090035-A1;US2019345431-A1;US11261414-B2,WO2018090035-A1,
WO2018090035-A1;US2019345431-A1;US11261414-B2,US2019345431-A1,
WO2018090035-A1;US2019345431-A1;US11261414-B2,US11261414-B2,US4072577-A;US6054100-A;US20110174820-A1;US20150329816-A1;US20180085726-A1;US20180209731-A1;US6379626-B1;US9844780-B2;CN204369902-U;US20070231887-A1;US20150072413-A1;US20150299631-A1;US20170227525-A1;WO2013139798-A1;WO2013144253-A1;WO2014016379-A1;WO2016189142-A1;WO2017091718-A1;WO2017096296-A1
KR2023116556-A,KR2023116556-A,
EP3901288-A1;WO2021213981-A1;EP3901288-A4;EP4139489-A1;US2023265522-A1,EP3901288-A1,
EP3901288-A1;WO2021213981-A1;EP3901288-A4;EP4139489-A1;US2023265522-A1,WO2021213981-A1,
EP3901288-A1;WO2021213981-A1;EP3901288-A4;EP4139489-A1;US2023265522-A1,EP3901288-A4,
