SourcePatent,CitedPatent
WO2012098100-A1,WO2004044003-A2
WO2012098100-A1,WO2006079068-A2
US8334106-B2,US8110373-B2
US9737595-B2,EP1559780-A1
US9737595-B2,US20050032730-A1
US9737595-B2,US20050059624-A1
US9737595-B2,US20050250723-A1
US9737595-B2,US20060188490-A1
US9737595-B2,US20080025944-A1
US9737595-B2,US20080267873-A1
US9737595-B2,US20090324584-A1
US9737595-B2,US20100048883-A1
US9737595-B2,US20100189729-A1
US9737595-B2,US20100291156-A1
US9737595-B2,US20100305196-A1
US9737595-B2,US20110053829-A1
US9737595-B2,US20110250225-A1
US9737595-B2,US20120258046-A1
US9737595-B2,WO1998025645-A1
US9737595-B2,WO2007105954-A1
US9737595-B2,WO2008069663-A1
US9737595-B2,WO2009008713-A1
US9737595-B2,WO2009030481-A1
US9737595-B2,WO2012013326-A1
US9737595-B2,WO2012019780-A1
US9737595-B2,WO2012116714-A1
US9737595-B2,WO2009095226-A2
EP2658569-B1,EP1559780-A1
EP2658569-B1,WO1995015384-A1
EP2658569-B1,WO1998002564-A1
EP2658569-B1,WO2003086280-A3
US2013289488-A1,WO2008059063-A1
CN103501842-A,CN101489607-A
CN103501842-A,CN101557850-A
CN103501842-A,CN101600468-A
CN103501842-A,DE102006038102-A1
CN103501842-A,US5000744-A
CN103501842-A,US6936032-B1
WO2012087835-A3,JP2005229874-A
WO2012087835-A3,US20070280937-A1
EP2648785-A1,JP4606084-B2
EP2648785-A1,US4667837-A
US2013281962-A1,US20080097310-A1
JP5986099-B2,DE19925621-A1
JP5986099-B2,JP10155904-A
JP5986099-B2,JP2005192888-A
JP5986099-B2,JP2006034790-A
JP5986099-B2,JP2007216986-A
JP5986099-B2,JP2007216987-A
JP5986099-B2,JP2009240411-A
JP5986099-B2,JP2010509963-A
JP5986099-B2,JP2001513683-W
JP5986099-B2,JP2004538118-W
JP5986099-B2,US4667837-A
US9730859-B2,US20080097310-A1
US9730859-B2,DE3618158-A
US9730859-B2,DE19925621-A1
US9730859-B2,JP10155904-A
US9730859-B2,JP2005192888-A
US9730859-B2,JP2006034790-A
US9730859-B2,JP2007216986-A
US9730859-B2,JP2007216987-A
US9730859-B2,JP2009240411-A
US9730859-B2,JP2010509963-A
US9730859-B2,JP2001513683-W
US9730859-B2,JP2004538118-W
US9730859-B2,US4465200-A
US9730859-B2,US4667837-A
US9730859-B2,US5464111-A
US9730859-B2,US5807323-A
US9730859-B2,US6126640-A
US9730859-B2,WO1998037855-A1
US9730859-B2,WO1999065549-A1
US9730859-B2,WO2003017915-A1
US9730859-B2,WO2008059063-A1
EP2648785-B1,US4667837-A
EP2648785-B1,WO1999065549-A1
EP3282015-A2,US20020086356-A1
EP3282015-A2,WO2007036366-A2
EP3282015-A3,WO2000014255-A1
EP3282015-A3,WO2010051223-A1
EP3282015-A3,WO2002068635-A2
EP3282015-B1,US20020086356-A1
EP3282015-B1,WO2012072096-A1
EP3282015-B1,WO2007036366-A2
US2014030808-A1,WO2009077134-A2
US2012148425-A1,US2086462-A
US2012148425-A1,US4368830-A
US2012148425-A1,US4641766-A
US2012148425-A1,US4658993-A
US2012148425-A1,US4710178-A
US2012148425-A1,US4865231-A
US2012148425-A1,US5320259-A
US2012148425-A1,US5433352-A
US2012148425-A1,US5570821-A
US2012148425-A1,US20040206783-A1
US2012148425-A1,US20070131721-A1
US2012148425-A1,US20080041880-A1
US2012148425-A1,US20080114305-A1
US2012148425-A1,US20080131191-A1
US2012148425-A1,US20090224004-A1
US2012148425-A1,US20090234299-A1
US2012148425-A1,US20130046250-A1
US2012148425-A1,US6357945-B1
US2012148425-A1,US6599272-B1
US2012148425-A1,US7011234-B2
US2012148425-A1,US7306125-B2
US2012148425-A1,WO2007092929-A2
US2012132201-A1,US20070191758-A1
US2012132201-A1,US20090033100-A1
US2012132201-A1,US6182655-B1
US2012132201-A1,US6958691-B1
US2012132201-A1,US7833189-B2
US2012132201-A1,US7893551-B2
US2013226134-A1,US20040210199-A1
US2013226134-A1,US6171276-B1
US2013226134-A1,US6793646-B1
US2013226134-A1,US6915823-B2
JP5955332-B2,JP07501234-W
JP5955332-B2,JP2001513371-W
JP5955332-B2,WO2004004809-A1
US9492620-B2,US20040210199-A1
US9492620-B2,US6171276-B1
US9492620-B2,US6793646-B1
US9492620-B2,US6915823-B2
US9492620-B2,EP1518575-A1
US9492620-B2,EP1923083-A1
US9492620-B2,US20090299328-A1
US9492620-B2,US20100211005-A1
US2017056596-A1,US3352779-A
US2017056596-A1,US9492620-B2
US10226580-B2,US3352779-A
US10226580-B2,US9492620-B2
US10226580-B2,EP1923083-A1
US10226580-B2,EP937471-A3
US10226580-B2,EP937476-A3
US10226580-B2,EP1518575-A4
US10226580-B2,US533575-A
US10226580-B2,US5226895-A
US10226580-B2,US5279586-A
US10226580-B2,US5304152-A
US10226580-B2,US5320609-A
US10226580-B2,US5383865-A
US10226580-B2,US5480387-A
US10226580-B2,US5505704-A
US10226580-B2,US5582598-A
US10226580-B2,US5626566-A
US10226580-B2,US5674204-A
US10226580-B2,US5688251-A
US10226580-B2,US5921966-A
US10226580-B2,US5961495-A
US10226580-B2,US6004297-A
US10226580-B2,US20020052578-A1
US10226580-B2,US20020120235-A1
US10226580-B2,US20030050609-A1
US10226580-B2,US20040059299-A1
US10226580-B2,US20040210199-A1
US10226580-B2,US20040267207-A1
US10226580-B2,US20050113765-A1
US10226580-B2,US20060153693-A1
US10226580-B2,US20090275916-A1
US10226580-B2,US20090299328-A1
US10226580-B2,US20100211005-A1
US10226580-B2,US6171276-B1
US10226580-B2,US6193698-B1
US10226580-B2,US6221046-B1
US10226580-B2,US6235004-B1
US10226580-B2,US6248095-B1
US10226580-B2,US6793646-B1
US10226580-B2,US6936032-B1
US10226580-B2,US6899698-B2
US10226580-B2,US6915823-B2
US10226580-B2,US7241278-B2
US10226580-B2,WO1999038554-A1
US10226580-B2,WO2001010484-A1
US2019151556-A1,US20060150712-A1
EP2637717-B1,EP1518575-A1
EP2637717-B1,EP1923083-A1
EP3578215-A1,EP1518575-A1
EP3578215-A1,US20090299328-A1
EP3578215-A1,US20100211005-A1
EP3578215-A1,US6171276-B1
EP3578215-A1,EP1923083-A1
US10881805-B2,US20060150712-A1
US10881805-B2,EP1923083-A1
US10881805-B2,EP937471-A3
US10881805-B2,EP937476-A3
US10881805-B2,EP1518575-A4
US10881805-B2,US533575-A
US10881805-B2,US3352779-A
US10881805-B2,US5226895-A
US10881805-B2,US5279586-A
US10881805-B2,US5304152-A
US10881805-B2,US5320609-A
US10881805-B2,US5383865-A
US10881805-B2,US5480387-A
US10881805-B2,US5505704-A
US10881805-B2,US5582598-A
US10881805-B2,US5626566-A
US10881805-B2,US5674204-A
US10881805-B2,US5688251-A
US10881805-B2,US5921966-A
US10881805-B2,US5961495-A
US10881805-B2,US6004297-A
US10881805-B2,US20020052578-A1
US10881805-B2,US20020120235-A1
US10881805-B2,US20030050609-A1
US10881805-B2,US20040059299-A1
US10881805-B2,US20040210199-A1
US10881805-B2,US20040267207-A1
US10881805-B2,US20050113765-A1
US10881805-B2,US20060153693-A1
US10881805-B2,US20090275916-A1
US10881805-B2,US20090299328-A1
US10881805-B2,US20100211005-A1
US10881805-B2,US6171276-B1
US10881805-B2,US6193698-B1
US10881805-B2,US6221046-B1
US10881805-B2,US6235004-B1
US10881805-B2,US6248095-B1
US10881805-B2,US6793646-B1
US10881805-B2,US6936032-B1
US10881805-B2,US6899698-B2
US10881805-B2,US6915823-B2
US10881805-B2,US7241278-B2
US10881805-B2,US9492620-B2
US10881805-B2,WO1999038554-A1
US10881805-B2,WO2001010484-A1
US2013287784-A1,US20120136140-A1
CN103582494-A,WO1994011401-A1
US2016046701-A1,US20030054005-A1
EP2632489-A4,WO1994011401-A1
EP2632489-A4,WO2002034880-A2
EP2632489-B1,EP404097-A
EP2632489-B1,EP418316-A
EP2632489-B1,EP120694-B1
EP2632489-B1,EP194276-B1
EP2632489-B1,EP239400-B1
EP2632489-B1,EP125023-B2
EP2632489-B1,US4196265-A
EP2632489-B1,US4675187-A
EP2632489-B1,US4816397-A
EP2632489-B1,US4816567-A
EP2632489-B1,US4946778-A
EP2632489-B1,US5223409-A
EP2632489-B1,US5225539-A
EP2632489-B1,US5403484-A
EP2632489-B1,US5427908-A
EP2632489-B1,US5514548-A
EP2632489-B1,US5545806-A
EP2632489-B1,US5545807-A
EP2632489-B1,US5569825-A
EP2632489-B1,US5580717-A
EP2632489-B1,US5625126-A
EP2632489-B1,US5633425-A
EP2632489-B1,US5658727-A
EP2632489-B1,US5661016-A
EP2632489-B1,US5667988-A
EP2632489-B1,US5698426-A
EP2632489-B1,US5702892-A
EP2632489-B1,US5759817-A
EP2632489-B1,US5770429-A
EP2632489-B1,US5855866-A
EP2632489-B1,US5877289-A
EP2632489-B1,US5965132-A
EP2632489-B1,US6004555-A
EP2632489-B1,US6015557-A
EP2632489-B1,US6075181-A
EP2632489-B1,US6091001-A
EP2632489-B1,US6093399-A
EP2632489-B1,US6114598-A
EP2632489-B1,US20030028071-A1
EP2632489-B1,US20030032995-A1
EP2632489-B1,US20060239970-A1
EP2632489-B1,US6217866-B1
EP2632489-B1,US6261535-B1
EP2632489-B1,US7262270-B2
EP2632489-B1,WO1986001533-A
EP2632489-B1,WO1989011538-A
EP2632489-B1,WO1993006213-A1
EP2632489-B1,WO1993011161-A1
EP2632489-B1,WO1994011401-A1
US2013204183-A1,US5295976-A
US2013204183-A1,US20100049125-A1
US2013204183-A1,US6193698-B1
US2013204183-A1,US6221046-B1
US2013204183-A1,WO2007138313-A1
CN103180000-A,US20030187405-A1
CN103180000-A,WO2008015066-A1
CN103180000-A,WO2009030975-A1
CN103180000-B,US20030187405-A1
CN103180000-B,WO2008015066-A1
CN103180000-B,WO2009030975-A1
EP2632512-B1,EP1923093-A1
EP2632512-B1,US20030187405-A1
US9775952-B2,US5295976-A
US9775952-B2,US20100049125-A1
US9775952-B2,US6193698-B1
US9775952-B2,US6221046-B1
US9775952-B2,WO2007138313-A1
US9775952-B2,EP1923093-A1
US9775952-B2,US20030187405-A1
US9775952-B2,WO2008015066-A1
US9775952-B2,WO2009030975-A1
CN102417907-B,CN101748124-A
CN102417907-B,CN102174508-A
CN102417907-B,WO2009074076-A1
CN102417907-B,WO2009013621-A2
WO2012045905-A3,EP1961825-A1
WO2012045905-A3,US20050181375-A1
ES2379918-A1,EP1961825-A1
CN103339265-A,EP1961825-A1
CN103339265-A,US20050181375-A1
US2014057796-A1,WO2008104543-A2
EP2626431-B1,EP1961825-A1
EP2626431-B1,US20050181375-A1
AU2011311452-B2,EP1961825-A1
AU2011311452-B2,US20050181375-A1
EP3091085-A1,EP1961825-A1
EP3091085-A1,US20050181375-A1
CN103339265-B,EP1961825-A1
CN103339265-B,US20050181375-A1
CN108192972-A,DE4013632-A
CN108192972-A,EP1961825-A1
CN108192972-A,WO2009045115-A1
US10047398-B2,WO2008104543-A2
US10047398-B2,EP1961825-A1
US10047398-B2,EP2650682-A1
US10047398-B2,EP2626431-A2
US10047398-B2,US20040138313-A1
US10047398-B2,US20050181375-A1
US10047398-B2,US20080219996-A1
US10047398-B2,US20090029378-A1
US10047398-B2,US20090048117-A1
US10047398-B2,US20090220955-A1
US10047398-B2,US20100113297-A1
US10047398-B2,US20110130296-A1
US10047398-B2,US20110150979-A1
US10047398-B2,US20110152113-A1
US10047398-B2,US20140105918-A1
US10047398-B2,US20140314792-A1
US10047398-B2,US20150152506-A1
US10047398-B2,US20150293100-A1
US10047398-B2,US20150362495-A1
US10047398-B2,US20160032399-A1
US10047398-B2,US20160032400-A1
US10047398-B2,US20160040247-A1
US10047398-B2,US20170002357-A1
US10047398-B2,US20170101683-A1
US10047398-B2,US20170121777-A1
US10047398-B2,US20170369589-A1
US10047398-B2,US20170370935-A1
US10047398-B2,US6274338-B1
US10047398-B2,US7097834-B1
US10047398-B2,US6740522-B2
US10047398-B2,US7019028-B2
US10047398-B2,US7364736-B2
US10047398-B2,US7411050-B2
US10047398-B2,US8642270-B2
US10047398-B2,US9702878-B2
US10047398-B2,WO2001049288-A1
US10047398-B2,WO2003020278-A1
US10047398-B2,WO2003020721-A1
US10047398-B2,WO2004000843-A1
US10047398-B2,WO2004014888-A1
US10047398-B2,WO2005046731-A1
US10047398-B2,WO2005063252-A1
US10047398-B2,WO2008098351-A1
US10047398-B2,WO2008145125-A1
US10047398-B2,WO2009049410-A1
US10047398-B2,WO2009146546-A1
US10047398-B2,WO2010000907-A1
US10047398-B2,WO2016092524-A1
US10047398-B2,WO2000055126-A2
US10047398-B2,WO2003059249-A2
US10047398-B2,WO2005086891-A2
US10047398-B2,WO2006012221-A2
US10047398-B2,WO2006135436-A2
US10047398-B2,WO2008142164-A2
US10047398-B2,WO2012045905-A2
US10047398-B2,WO2013153458-A2
US10047398-B2,WO2013182912-A2
US10047398-B2,WO2014057357-A2
US10047398-B2,WO2014140896-A2
US10047398-B2,WO2014184679-A2
US10047398-B2,WO2015052583-A2
US10047398-B2,WO2014140933-A3
EP3091085-B1,EP1961825-A1
EP3091085-B1,US5093246-A
EP3091085-B1,US5176996-A
EP3091085-B1,US5256775-A
EP3091085-B1,US5264564-A
EP3091085-B1,US20040132086-A1
EP3091085-B1,US20050181375-A1
EP3091085-B1,US20090048117-A1
EP3091085-B1,US6274338-B1
EP3091085-B1,US6287813-B1
EP3091085-B1,WO1986004920-A
EP3091085-B1,WO1988009810-A
EP3091085-B1,WO1989010134-A
EP3091085-B1,WO1995009853-A1
EP3091085-B1,WO1997038117-A1
EP3091085-B1,WO2003020278-A1
EP3091085-B1,WO2003020721-A1
EP3091085-B1,WO2003027275-A1
EP3091085-B1,WO2004000843-A1
EP3091085-B1,WO2004014888-A1
EP3091085-B1,WO2005046731-A1
EP3091085-B1,WO2005063252-A1
EP3091085-B1,WO2008098351-A1
EP3091085-B1,WO2009049410-A1
EP3091085-B1,WO2009146546-A1
EP3091085-B1,WO2010000907-A1
EP3091085-B1,WO2000055126-A2
EP3091085-B1,WO2007069090-A2
EP3091085-B1,WO2003059249-A3
EP3091085-B1,WO2005026322-A3
EP3091085-B1,WO2006012221-A3
EP3091085-B1,WO2006135436-A3
EP3091085-B1,WO2001049288-A9
US2019169693-A1,US9702878-B2
US2019169693-A1,US10047398-B2
EP3517630-A1,EP1961825-A1
EP3517630-A1,US20050181375-A1
US11072831-B2,US9702878-B2
US11072831-B2,US10047398-B2
US11072831-B2,EP1961825-A1
US11072831-B2,EP2650682-A1
US11072831-B2,EP2626431-A2
US11072831-B2,US20040138313-A1
US11072831-B2,US20050181375-A1
US11072831-B2,US20080219996-A1
US11072831-B2,US20090029378-A1
US11072831-B2,US20090048117-A1
US11072831-B2,US20090220955-A1
US11072831-B2,US20100113297-A1
US11072831-B2,US20110130296-A1
US11072831-B2,US20110150979-A1
US11072831-B2,US20110152113-A1
US11072831-B2,US20140057796-A1
US11072831-B2,US20140105918-A1
US11072831-B2,US20140162887-A1
US11072831-B2,US20140303133-A1
US11072831-B2,US20140314792-A1
US11072831-B2,US20150152506-A1
US11072831-B2,US20150293100-A1
US11072831-B2,US20150362495-A1
US11072831-B2,US20160032399-A1
US11072831-B2,US20160032400-A1
US11072831-B2,US20160040247-A1
US11072831-B2,US20170002357-A1
US11072831-B2,US20170101683-A1
US11072831-B2,US20170121777-A1
US11072831-B2,US20170369589-A1
US11072831-B2,US20170370935-A1
US11072831-B2,US20190119757-A1
US11072831-B2,US20190169693-A1
US11072831-B2,US20190242898-A1
US11072831-B2,US20190256922-A1
US11072831-B2,US20190269707-A1
US11072831-B2,US20190309299-A1
US11072831-B2,US6274338-B1
US11072831-B2,US7097834-B1
US11072831-B2,US6740522-B2
US11072831-B2,US7019028-B2
US11072831-B2,US7364736-B2
US11072831-B2,US7411050-B2
US11072831-B2,US8642270-B2
US11072831-B2,US10006091-B2
US11072831-B2,US10114022-B2
US11072831-B2,US10119171-B2
US11072831-B2,WO2001049288-A1
US11072831-B2,WO2003020278-A1
US11072831-B2,WO2003020721-A1
US11072831-B2,WO2004000843-A1
US11072831-B2,WO2004014888-A1
US11072831-B2,WO2005046731-A1
US11072831-B2,WO2005063252-A1
US11072831-B2,WO2008098351-A1
US11072831-B2,WO2008145125-A1
US11072831-B2,WO2009049410-A1
US11072831-B2,WO2009146546-A1
US11072831-B2,WO2010000907-A1
US11072831-B2,WO2010136569-A1
US11072831-B2,WO2016092524-A1
US11072831-B2,WO2017203468-A1
US11072831-B2,WO2019102380-A1
US11072831-B2,WO2000055126-A2
US11072831-B2,WO2003059249-A2
US11072831-B2,WO2005029067-A2
US11072831-B2,WO2005086891-A2
US11072831-B2,WO2006012221-A2
US11072831-B2,WO2006135436-A2
US11072831-B2,WO2008104543-A2
US11072831-B2,WO2008142164-A2
US11072831-B2,WO2012045905-A2
US11072831-B2,WO2012125828-A2
US11072831-B2,WO2013153458-A2
US11072831-B2,WO2013182912-A2
US11072831-B2,WO2014057357-A2
US11072831-B2,WO2014140896-A2
US11072831-B2,WO2014184679-A2
US11072831-B2,WO2015052583-A2
US11072831-B2,WO2014140933-A8
EP3517630-B1,EP1961825-A1
EP3517630-B1,US5093246-A
EP3517630-B1,US5176996-A
EP3517630-B1,US5256775-A
EP3517630-B1,US5264564-A
EP3517630-B1,US20040132086-A1
EP3517630-B1,US20050181375-A1
EP3517630-B1,US20090048117-A1
EP3517630-B1,US6274338-B1
EP3517630-B1,US6287813-B1
EP3517630-B1,WO1986004920-A
EP3517630-B1,WO1988009810-A
EP3517630-B1,WO1989010134-A
EP3517630-B1,WO1997038117-A1
EP3517630-B1,WO2003020278-A1
EP3517630-B1,WO2003020721-A1
EP3517630-B1,WO2004000843-A1
EP3517630-B1,WO2004014888-A1
EP3517630-B1,WO2005046731-A1
EP3517630-B1,WO2005063252-A1
EP3517630-B1,WO2008098351-A1
EP3517630-B1,WO2009049410-A1
EP3517630-B1,WO2009146546-A1
EP3517630-B1,WO2010000907-A1
EP3517630-B1,WO2000055126-A2
EP3517630-B1,WO2007069090-A2
EP3517630-B1,WO2003059249-A3
EP3517630-B1,WO2005026322-A3
EP3517630-B1,WO2006012221-A3
EP3517630-B1,WO2006135436-A3
EP3517630-B1,WO2001049288-A9
CN108192972-B,DE4013632-A
CN108192972-B,EP1961825-A1
CN108192972-B,WO2009045115-A1
WO2012047930-A3,US20070031379-A1
WO2012047930-A3,US20090246769-A1
WO2012047930-A3,US20100173788-A1
WO2012047930-A3,WO2007068985-A2
US2014088018-A9,US5876968-A
US2014088018-A9,US20050172359-A1
US9487575-B2,US5876968-A
US9487575-B2,US20050172359-A1
US9487575-B2,EP1789805-A1
US9487575-B2,EP2199801-A2
US9487575-B2,EP201187-B
US9487575-B2,US5114863-A
US9487575-B2,US5891641-A
US9487575-B2,US5955582-A
US9487575-B2,US20030027216-A1
US9487575-B2,US20050059013-A1
US9487575-B2,US20050214760-A1
US9487575-B2,US20060068405-A1
US9487575-B2,US20060094039-A1
US9487575-B2,US20060257866-A1
US9487575-B2,US20070031379-A1
US9487575-B2,US20090246769-A1
US9487575-B2,US20100081151-A1
US9487575-B2,US20100173788-A1
US9487575-B2,US20100227825-A1
US9487575-B2,US20110027894-A1
US9487575-B2,US20130090256-A1
US9487575-B2,US7191068-B2
US9487575-B2,US7291461-B2
US9487575-B2,US7427662-B2
US9487575-B2,US7510842-B2
US9487575-B2,US7510881-B2
US9487575-B2,US7575876-B2
US9487575-B2,US7589174-B2
US9487575-B2,US7604948-B2
US9487575-B2,US7605003-B2
US9487575-B2,US7670792-B2
US9487575-B2,US7723303-B2
US9487575-B2,US8323915-B2
US9487575-B2,WO1991008488-A
US9487575-B2,WO2007068985-A2
US9487575-B2,WO2004012588-A3
US9487575-B2,WO2004013609-A3
US9487575-B2,WO2005093413-A3
US9487575-B2,WO2006099126-A3
WO2012048125-A3,US20040018505-A1
WO2012048125-A3,US20090227002-A1
WO2012048125-A3,US20100093082-A1
EP2624857-A2,CN1361245-A
EP2624857-A2,US7608413-B1
EP2624857-A2,WO2001038371-A1
EP2624857-A2,WO2010019210-A2
CN103118696-A,US20040018505-A1
CN103118696-A,US20090227002-A1
CN103118696-A,US20100003230-A1
CN103118696-A,US20100093082-A1
CN103118696-A,WO2006016217-A1
US2013330312-A1,WO2001075078-A1
US9399770-B2,WO2001075078-A1
US9399770-B2,CA2531146-A1
US9399770-B2,CN1341725-A
US9399770-B2,CN1341727-A
US9399770-B2,CN1352242-A
US9399770-B2,CN1352252-A
US9399770-B2,CN1361245-A
US9399770-B2,EP1274834-A1
US9399770-B2,EP1377305-A1
US9399770-B2,EP1776138-A1
US9399770-B2,EP2084190-A1
US9399770-B2,EP2177610-A1
US9399770-B2,EP893494-A2
US9399770-B2,EP893496-A2
US9399770-B2,EP897004-A2
US9399770-B2,EP1275720-A2
US9399770-B2,EP1300468-A2
US9399770-B2,US5370995-A
US9399770-B2,US5750387-A
US9399770-B2,US5753480-A
US9399770-B2,US5756327-A
US9399770-B2,US5759833-A
US9399770-B2,US5776749-A
US9399770-B2,US5795757-A
US9399770-B2,US5798240-A
US9399770-B2,US5801013-A
US9399770-B2,US5866390-A
US9399770-B2,US5885815-A
US9399770-B2,US5928920-A
US9399770-B2,US5939298-A
US9399770-B2,US20020182666-A1
US9399770-B2,US20030004309-A1
US9399770-B2,US20030017564-A1
US9399770-B2,US20030018985-A1
US9399770-B2,US20030215827-A1
US9399770-B2,US20040009163-A1
US9399770-B2,US20040018505-A1
US9399770-B2,US20040048290-A1
US9399770-B2,US20040152079-A1
US9399770-B2,US20040203094-A1
US9399770-B2,US20040214216-A1
US9399770-B2,US20040224981-A1
US9399770-B2,US20050136513-A1
US9399770-B2,US20050208536-A1
US9399770-B2,US20060024288-A1
US9399770-B2,US20060035232-A1
US9399770-B2,US20060046250-A1
US9399770-B2,US20060078553-A1
US9399770-B2,US20060160175-A1
US9399770-B2,US20060248617-A1
US9399770-B2,US20070048322-A1
US9399770-B2,US20070061916-A1
US9399770-B2,US20070111238-A1
US9399770-B2,US20080044854-A1
US9399770-B2,US20080113914-A1
US9399770-B2,US20080153745-A1
US9399770-B2,US20090123971-A1
US9399770-B2,US20090226966-A1
US9399770-B2,US20090227002-A1
US9399770-B2,US20090227662-A1
US9399770-B2,US20090285792-A1
US9399770-B2,US20100003230-A1
US9399770-B2,US20100028352-A1
US9399770-B2,US20100048413-A1
US9399770-B2,US20100092434-A1
US9399770-B2,US20100093082-A1
US9399770-B2,US20100297149-A1
US9399770-B2,US20100310576-A1
US9399770-B2,US20110104139-A1
US9399770-B2,US20110110917-A1
US9399770-B2,US20110136119-A1
US9399770-B2,US20110150885-A1
US9399770-B2,US20110189195-A1
US9399770-B2,US20110250701-A1
US9399770-B2,US20110256119-A1
US9399770-B2,US20120004185-A1
US9399770-B2,US20120015383-A1
US9399770-B2,US20120058133-A1
US9399770-B2,US20120064082-A1
US9399770-B2,US20130052177-A1
US9399770-B2,US20130108630-A1
US9399770-B2,US20130129703-A1
US9399770-B2,US20130129704-A1
US9399770-B2,US20130129705-A1
US9399770-B2,US20130142774-A1
US9399770-B2,US20130195832-A1
US9399770-B2,US20130202574-A1
US9399770-B2,US20130202575-A1
US9399770-B2,US20130202576-A1
US9399770-B2,US20130209434-A1
US9399770-B2,US20130209472-A1
US9399770-B2,US20130224173-A1
US9399770-B2,US20130224174-A1
US9399770-B2,US20130230505-A1
US9399770-B2,US20130230507-A1
US9399770-B2,US20130230508-A1
US9399770-B2,US20130236440-A1
US9399770-B2,US20130236455-A1
US9399770-B2,US20130243745-A1
US9399770-B2,US20130243766-A1
US9399770-B2,US20130273045-A1
US9399770-B2,US20130280230-A1
US9399770-B2,US20130287755-A1
US9399770-B2,US20130315887-A1
US9399770-B2,US20130344096-A1
US9399770-B2,US20140066321-A1
US9399770-B2,US6225060-B1
US9399770-B2,US6428960-B1
US9399770-B2,US6548060-B1
US9399770-B2,US6696619-B1
US9399770-B2,US7608413-B1
US9399770-B2,US6903189-B2
US9399770-B2,US7067126-B2
US9399770-B2,US7144984-B2
US9399770-B2,US7196068-B2
US9399770-B2,US7273844-B2
US9399770-B2,US7413885-B2
US9399770-B2,US7459529-B2
US9399770-B2,US7476651-B2
US9399770-B2,US7521215-B2
US9399770-B2,US7528106-B2
US9399770-B2,US7901917-B2
US9399770-B2,US7902165-B2
US9399770-B2,US8003780-B2
US9399770-B2,US8017593-B2
US9399770-B2,US8026088-B2
US9399770-B2,US8101566-B2
US9399770-B2,US8148125-B2
US9399770-B2,US8404242-B2
US9399770-B2,US8404471-B2
US9399770-B2,US8481296-B2
US9399770-B2,WO1997026351-A1
US9399770-B2,WO1997039017-A1
US9399770-B2,WO1998014591-A1
US9399770-B2,WO2001019999-A1
US9399770-B2,WO2001038371-A1
US9399770-B2,WO2001064892-A1
