Source,Target,Weight
US9234013-B2,US9872900-B2,1
US9234013-B2,US10022435-B2,1
US9234013-B2,US10709779-B2,1
US8968746-B2,US10307472-B2,1
US8968746-B2,US11110157-B2,1
US8968746-B2,US9974845-B2,1
US8968746-B2,US10117920-B2,1
US8968746-B2,US10434158-B2,1
US8968746-B2,US11458195-B2,1
US9155788-B2,US9433669-B2,1
US9155788-B2,US9433670-B2,1
US9155788-B2,US9439956-B2,1
US9155788-B2,US9463228-B2,1
US9155788-B2,US9655955-B2,1
US9155788-B2,US10307472-B2,1
US9155788-B2,US11110157-B2,1
US9155788-B2,US9974845-B2,1
US9155788-B2,US10117920-B2,1
US9155788-B2,US10434158-B2,1
US9155788-B2,US11458195-B2,1
US11872280-B2,US12194089-B2,1
US11918643-B2,US12194089-B2,1
US11241493-B2,US11872280-B2,1
US11241493-B2,US11918643-B2,1
US11241493-B2,US11576966-B2,1
US11241493-B2,US11596686-B2,1
US11241493-B2,US12194089-B2,1
US11241493-B2,US11779659-B2,1
US11576966-B2,US11918643-B2,1
US11576966-B2,US12194089-B2,1
US11596686-B2,US11918643-B2,1
US11596686-B2,US12194089-B2,1
US11103578-B2,US11696946-B2,1
US11103578-B2,US11541113-B2,1
US11103578-B2,US11872278-B2,1
US11103578-B2,US11484590-B2,1
US11103578-B2,US11911453-B2,1
US11103578-B2,US11576961-B2,1
US11103578-B2,US11752206-B2,1
US11103578-B2,US11497807-B2,1
US11103578-B2,US11464848-B2,1
US11103578-B2,US11406703-B2,1
US10925958-B2,US11207398-B2,1
US10925958-B2,US11696946-B2,1
US10925958-B2,US11197927-B2,1
US10925958-B2,US11541113-B2,1
US10925958-B2,US11872278-B2,1
US10925958-B2,US11484590-B2,1
US10925958-B2,US11779659-B2,1
US10925958-B2,US11911453-B2,1
US10925958-B2,US11576961-B2,1
US10925958-B2,US11752206-B2,1
US10925958-B2,US11497807-B2,1
US10925958-B2,US11464848-B2,1
US10925958-B2,US11643441-B1,1
US10925958-B2,US11364292-B2,1
US10925958-B2,US11406703-B2,1
US11696946-B2,US11872278-B2,1
US10695419-B2,US11207398-B2,1
US10695419-B2,US11103578-B2,1
US10695419-B2,US10925958-B2,1
US10695419-B2,US11696946-B2,1
US10695419-B2,US11197927-B2,1
US10695419-B2,US11541113-B2,1
US10695419-B2,US11872278-B2,1
US10695419-B2,US11484590-B2,1
US10695419-B2,US11779659-B2,1
US10695419-B2,US11911453-B2,1
US10695419-B2,US11576961-B2,1
US10695419-B2,US11752206-B2,1
US10695419-B2,US11497807-B2,1
US10695419-B2,US11464848-B2,1
US10695419-B2,US10933127-B2,1
US10695419-B2,US11643441-B1,1
US10695419-B2,US11364292-B2,1
US10695419-B2,US11406703-B2,1
US10272150-B2,US11872280-B2,1
US10272150-B2,US11918643-B2,1
US10272150-B2,US11779659-B2,1
US10702599-B2,US11872280-B2,1
US10702599-B2,US11918643-B2,1
US10702599-B2,US11779659-B2,1
US10064935-B2,US11207398-B2,1
US10064935-B2,US11103578-B2,1
US10064935-B2,US10925958-B2,1
US10064935-B2,US11696946-B2,1
US10064935-B2,US10695419-B2,1
US10064935-B2,US11197927-B2,1
US10064935-B2,US11541113-B2,1
US10064935-B2,US10272150-B2,1
US10064935-B2,US10702599-B2,1
US10064935-B2,US11872278-B2,1
US10064935-B2,US10716846-B2,1
US10064935-B2,US11484590-B2,1
US10064935-B2,US10493143-B2,1
US10064935-B2,US11779659-B2,1
US10064935-B2,US11911453-B2,1
US10064935-B2,US11576961-B2,1
US10064935-B2,US11752206-B2,1
US10064935-B2,US11497807-B2,1
US10064935-B2,US11464848-B2,1
US10064935-B2,US10383937-B2,1
US10064935-B2,US10933127-B2,1
US10064935-B2,US11643441-B1,1
US10064935-B2,US10449244-B2,1
US10064935-B2,US11364292-B2,1
US10064935-B2,US10709779-B2,1
US10064935-B2,US11406703-B2,1
US10493143-B2,US11207398-B2,1
US10493143-B2,US11103578-B2,1
US10493143-B2,US10925958-B2,1
US10493143-B2,US11696946-B2,1
US10493143-B2,US10695419-B2,1
US10493143-B2,US11197927-B2,1
US10493143-B2,US11541113-B2,1
US10493143-B2,US11872278-B2,1
US10493143-B2,US11484590-B2,1
US10493143-B2,US11779659-B2,1
US10493143-B2,US11911453-B2,1
US10493143-B2,US11576961-B2,1
US10493143-B2,US11752206-B2,1
US10493143-B2,US11497807-B2,1
US10493143-B2,US11464848-B2,1
US10493143-B2,US10933127-B2,1
US10493143-B2,US11643441-B1,1
US10493143-B2,US11364292-B2,1
US10493143-B2,US10709779-B2,1
US10493143-B2,US11406703-B2,1
US10307472-B2,US11110157-B2,1
US10307472-B2,US11458195-B2,1
US11266735-B2,US11696946-B2,1
US11266735-B2,US11911453-B2,1
US9974845-B2,US11110157-B2,1
US9974845-B2,US10434158-B2,1
US9974845-B2,US11458195-B2,1
US10117920-B2,US11110157-B2,1
US10117920-B2,US10434158-B2,1
US10117920-B2,US11458195-B2,1
US10434158-B2,US11110157-B2,1
US10434158-B2,US11458195-B2,1
US9623095-B2,US11103578-B2,1
US9623095-B2,US10272150-B2,1
US9623095-B2,US10702599-B2,1
US9623095-B2,US11872278-B2,1
US9623095-B2,US10064934-B2,1
US9623095-B2,US10933127-B2,1
US10172935-B2,US11771653-B2,1
US10172935-B2,US11771652-B2,1
US11576961-B2,US11872278-B2,1
US11497807-B2,US11696946-B2,1
US11497807-B2,US11872278-B2,1
US11497807-B2,US11911453-B2,1
US11464848-B2,US11696946-B2,1
US11464848-B2,US11872278-B2,1
US11464848-B2,US11911453-B2,1
US11464848-B2,US11752206-B2,1
US10064934-B2,US11872280-B2,1
US10064934-B2,US11918643-B2,1
US10064934-B2,US11207398-B2,1
US10064934-B2,US11103578-B2,1
US10064934-B2,US10925958-B2,1
US10064934-B2,US11696946-B2,1
US10064934-B2,US10695419-B2,1
US10064934-B2,US11197927-B2,1
US10064934-B2,US11541113-B2,1
US10064934-B2,US10272150-B2,1
US10064934-B2,US10702599-B2,1
US10064934-B2,US11872278-B2,1
US10064934-B2,US10716846-B2,1
US10064934-B2,US11484590-B2,1
US10064934-B2,US10493143-B2,1
US10064934-B2,US11779659-B2,1
US10064934-B2,US11911453-B2,1
US10064934-B2,US11576961-B2,1
US10064934-B2,US11752206-B2,1
US10064934-B2,US11497807-B2,1
US10064934-B2,US11464848-B2,1
US10064934-B2,US10383937-B2,1
US10064934-B2,US10933127-B2,1
US10064934-B2,US11643441-B1,1
US10064934-B2,US10449244-B2,1
US10064934-B2,US11364292-B2,1
US10064934-B2,US10709779-B2,1
US10064934-B2,US11406703-B2,1
US10124055-B2,US11207398-B2,1
US10124055-B2,US11103578-B2,1
US10124055-B2,US10925958-B2,1
US10124055-B2,US11696946-B2,1
US10124055-B2,US10695419-B2,1
US10124055-B2,US11197927-B2,1
US10124055-B2,US11541113-B2,1
US10124055-B2,US10702599-B2,1
US10124055-B2,US11872278-B2,1
US10124055-B2,US10716846-B2,1
US10124055-B2,US11484590-B2,1
US10124055-B2,US10493143-B2,1
US10124055-B2,US11779659-B2,1
US10124055-B2,US11911453-B2,1
US10124055-B2,US11576961-B2,1
US10124055-B2,US11752206-B2,1
US10124055-B2,US11497807-B2,1
US10124055-B2,US11464848-B2,1
US10124055-B2,US10383937-B2,1
US10124055-B2,US10933127-B2,1
US10124055-B2,US11643441-B1,1
US10124055-B2,US10449244-B2,1
US10124055-B2,US11364292-B2,1
US10124055-B2,US10709779-B2,1
US10124055-B2,US11406703-B2,1
US10383937-B2,US10709779-B2,1
US10933127-B2,US11872280-B2,1
US10933127-B2,US11918643-B2,1
US10933127-B2,US11576966-B2,1
US10933127-B2,US11596686-B2,1
US10933127-B2,US12194089-B2,1
US11643441-B1,US11872278-B2,1
US10449244-B2,US11207398-B2,1
US10449244-B2,US11103578-B2,1
US10449244-B2,US10925958-B2,1
US10449244-B2,US11696946-B2,1
US10449244-B2,US10695419-B2,1
US10449244-B2,US11197927-B2,1
US10449244-B2,US11541113-B2,1
US10449244-B2,US11872278-B2,1
US10449244-B2,US10716846-B2,1
US10449244-B2,US11484590-B2,1
US10449244-B2,US11779659-B2,1
US10449244-B2,US11911453-B2,1
US10449244-B2,US11576961-B2,1
US10449244-B2,US11752206-B2,1
US10449244-B2,US11497807-B2,1
US10449244-B2,US11464848-B2,1
US10449244-B2,US10933127-B2,1
US10449244-B2,US11643441-B1,1
US10449244-B2,US11364292-B2,1
US10449244-B2,US10709779-B2,1
US10449244-B2,US11406703-B2,1
US9872900-B2,US11207398-B2,1
US9872900-B2,US11103578-B2,1
US9872900-B2,US10925958-B2,1
US9872900-B2,US11696946-B2,1
US9872900-B2,US10695419-B2,1
US9872900-B2,US11197927-B2,1
US9872900-B2,US11541113-B2,1
US9872900-B2,US10272150-B2,1
US9872900-B2,US10702599-B2,1
US9872900-B2,US11872278-B2,1
US9872900-B2,US10716846-B2,1
US9872900-B2,US11484590-B2,1
US9872900-B2,US10493143-B2,1
US9872900-B2,US11779659-B2,1
US9872900-B2,US11911453-B2,1
US9872900-B2,US11576961-B2,1
US9872900-B2,US11752206-B2,1
US9872900-B2,US11497807-B2,1
US9872900-B2,US11464848-B2,1
US9872900-B2,US10064934-B2,1
US9872900-B2,US10383937-B2,1
US9872900-B2,US10933127-B2,1
US9872900-B2,US11643441-B1,1
US9872900-B2,US10449244-B2,1
US9872900-B2,US11364292-B2,1
US9872900-B2,US10709779-B2,1
US9872900-B2,US11771653-B2,1
US9872900-B2,US11771652-B2,1
US9872900-B2,US11406703-B2,1
US10022435-B2,US11872280-B2,1
US10022435-B2,US11918643-B2,1
US10022435-B2,US11576966-B2,1
US10022435-B2,US11596686-B2,1
US10022435-B2,US12194089-B2,1
US10022435-B2,US10716846-B2,1
US10022435-B2,US11484590-B2,1
US10022435-B2,US11779659-B2,1
US10022435-B2,US11752206-B2,1
US10022435-B2,US10709779-B2,1
US10022435-B2,US11771653-B2,1
US10022435-B2,US11771652-B2,1
US10022435-B2,US11406703-B2,1
US10709779-B2,US11872280-B2,1
US10709779-B2,US11918643-B2,1
US10709779-B2,US11779659-B2,1
US10709779-B2,US11752206-B2,1
US10709779-B2,US11771653-B2,1
US10709779-B2,US11771652-B2,1
US10682426-B2,US11369694-B2,1
US11406703-B2,US11696946-B2,1
US11406703-B2,US11872278-B2,1
US11406703-B2,US11911453-B2,1
US11406703-B2,US11576961-B2,1
US11406703-B2,US11752206-B2,1
US10738355-B2,US11248264-B2,1
WO2011015347-A1,US11872280-B2,1
WO2011015347-A1,US11918643-B2,1
WO2011015347-A1,WO2021213924-A1,1
WO2011015347-A1,US11576966-B2,1
WO2011015347-A1,US11596686-B2,1
WO2011015347-A1,US12194089-B2,1
WO2011015347-A1,US11779659-B2,1
US9295717-B2,US11779659-B2,1
EP3473267-A1,US10738355-B2,1
EP3473267-A1,US11248264-B2,1
EP3292873-A1,US11110157-B2,1
EP3292873-A1,US11458195-B2,1
EP3292873-B1,US11779659-B2,1
EP3578200-A1,US11779659-B2,1
US8961960-B2,US9528103-B2,1
WO2011139986-A3,US9399770-B2,1
WO2011139986-A3,US8961960-B2,1
WO2011139986-A3,US9528103-B2,1
WO2011139799-A3,US9399770-B2,1
WO2011139799-A3,US8961960-B2,1
WO2011139799-A3,US9528103-B2,1
WO2011139854-A3,US9399770-B2,1
WO2011139854-A3,US8961960-B2,1
WO2011139854-A3,US9528103-B2,1
US9376709-B2,US9845489-B2,1
US10624955-B2,US10786556-B2,1
US10624956-B2,US10786556-B2,1
US10624957-B2,US10786556-B2,1
US6653106-B1,US7662556-B2,1
US6309623-B1,US7205343-B2,1
US6309623-B1,US7306787-B2,1
US6309623-B1,US7393544-B2,1
US6309623-B1,US7628978-B2,1
US6309623-B1,US7790145-B2,1
US6638495-B2,US7393544-B2,1
US6638495-B2,US7790145-B2,1
US7306787-B2,US7790145-B2,1
US7393544-B2,US7790145-B2,1
US9029341-B2,US9464290-B2,1
US9029341-B2,US9879262-B2,1
US9029341-B2,US10407682-B2,1
US9029341-B2,US10793860-B2,1
US9029341-B2,US10513703-B2,1
US9464290-B2,US9879262-B2,1
US9464290-B2,US10407682-B2,1
US9464290-B2,US10793860-B2,1
US9464290-B2,US10513703-B2,1
US9879262-B2,US10407682-B2,1
US9879262-B2,US10793860-B2,1
US9879262-B2,US10513703-B2,1
US10407682-B2,US10793860-B2,1
CN102762215-A,CN103282497-A,1
CN102762215-A,US10513703-B2,1
US9770463-B2,US11026964-B2,1
US9556110-B2,US10189802-B2,1
EP3608308-A1,US11872278-B2,1
US8802644-B2,US9394234-B2,1
US8802644-B2,US2017143631-A1,1
EP1905844-A2,US8968746-B2,1
EP1905844-A2,US9402887-B2,1
EP1905844-A2,US10434154-B2,1
EP1905844-A2,US11207398-B2,1
EP1905844-A2,US11103578-B2,1
EP1905844-A2,US10925958-B2,1
EP1905844-A2,US11696946-B2,1
EP1905844-A2,US10695419-B2,1
EP1905844-A2,US11197927-B2,1
EP1905844-A2,US11541113-B2,1
EP1905844-A2,US10272150-B2,1
EP1905844-A2,US10702599-B2,1
EP1905844-A2,US11872278-B2,1
EP1905844-A2,US10064935-B2,1
EP1905844-A2,US10716846-B2,1
EP1905844-A2,US11484590-B2,1
EP1905844-A2,US10493143-B2,1
EP1905844-A2,US10172935-B2,1
EP1905844-A2,US10596252-B2,1
EP1905844-A2,US10729761-B2,1
EP1905844-A2,US11911453-B2,1
EP1905844-A2,US11576961-B2,1
EP1905844-A2,US11752206-B2,1
EP1905844-A2,US11464848-B2,1
EP1905844-A2,US10064934-B2,1
EP1905844-A2,US10124055-B2,1
EP1905844-A2,US10383937-B2,1
EP1905844-A2,US10933127-B2,1
EP1905844-A2,US11643441-B1,1
EP1905844-A2,US10449244-B2,1
EP1905844-A2,US11364292-B2,1
EP1905844-A2,US11406703-B2,1
WO2003051401-A3,US9155788-B2,1
WO2003051401-A3,US9433669-B2,1
WO2003051401-A3,US9433670-B2,1
WO2003051401-A3,US9439956-B2,1
WO2003051401-A3,US9463228-B2,1
WO2003051401-A3,US9655955-B2,1
EP3718565-B1,US11779659-B2,1
US6500662-B1,US7273617-B2,1
US6500662-B1,US6841364-B2,1
US6500662-B1,US7618797-B2,1
US6500662-B1,US7691389-B2,1
US6500662-B1,US8492132-B2,1
US6500662-B1,US8895025-B2,1
US7132106-B2,US7273617-B2,1
US7132106-B2,US7618797-B2,1
US7132106-B2,US7691389-B2,1
US7132106-B2,US8492132-B2,1
US7132106-B2,US8895025-B2,1
US7618797-B2,US8492132-B2,1
US7618797-B2,US8895025-B2,1
US7691389-B2,US8492132-B2,1
US7691389-B2,US8895025-B2,1
WO2006116458-A2,US8968746-B2,1
WO2010066418-A1,US10155031-B2,1
WO2010066418-A1,US10738355-B2,1
WO2010066418-A1,US11248264-B2,1
US6428324-B1,US11771653-B2,1
US6428324-B1,US11771652-B2,1
US6156558-A,US6783939-B2,1
US6156558-A,US6632640-B1,1
US6156558-A,US6521235-B2,1
US6156558-A,US6531135-B1,1
US6541010-B1,US7235235-B2,1
US6060308-A,US11026964-B2,1
US6060308-A,US6428324-B1,1
US6060308-A,US6830748-B1,1
US6060308-A,US7205013-B2,1
US6060308-A,US7465574-B2,1
US6830748-B1,WO2007044483-A3,1
US6830748-B1,US7465574-B2,1
US8158601-B2,US9394234-B2,1
US8158601-B2,US2017143631-A1,1
US8158601-B2,US9872900-B2,1
