node,networkEfficiency_before,Connectivity_before,ClusteringCoefficient_before,networkEfficiency_after,Connectivity_after,ClusteringCoefficient_after,efficiency_change,connectivity_change,clustering_change
EP3578200-A1,0.33506350684971675,1.0,0.3503276975037026,0.3356625504183946,1.0,0.3535773507283647,-0.0005990435686778484,0.0,-0.0032496532246621412
US10064934-B2,0.33506350684971675,1.0,0.3503276975037026,0.3297289823008828,1.0,0.33997687224513473,0.00533452454883393,0.0,0.010350825258567842
US11484590-B2,0.33506350684971675,1.0,0.3503276975037026,0.3334035052073901,1.0,0.34846336084642326,0.0016600016423266584,0.0,0.0018643366572793085
US9402887-B2,0.33506350684971675,1.0,0.3503276975037026,0.3353201568237891,1.0,0.3536099294827533,-0.0002566499740723205,0.0,-0.0032822319790507537
US7407790-B2,0.33506350684971675,1.0,0.3503276975037026,0.3368174703509696,1.0,0.3534279426143548,-0.001753963501252842,0.0,-0.003100245110652211
WO2005062820-A3,0.33506350684971675,1.0,0.3503276975037026,0.33794366935564546,1.0,0.3534279426143548,-0.0028801625059287073,0.0,-0.003100245110652211
US11464848-B2,0.33506350684971675,1.0,0.3503276975037026,0.3331137875504158,1.0,0.345814854381838,0.0019497192993009338,0.0,0.004512843121864563
WO2012159754-A3,0.33506350684971675,1.0,0.3503276975037026,0.31275152760219055,0.0,0.3539240054068107,0.022311979247526204,1.0,-0.003596307903108109
WO2007044483-A3,0.33506350684971675,1.0,0.3503276975037026,0.33781981819276136,1.0,0.35637779512172946,-0.002756311343044604,0.0,-0.006050097618026884
EP3292873-A1,0.33506350684971675,1.0,0.3503276975037026,0.3369272745971519,1.0,0.35679920262278303,-0.00186376774743513,0.0,-0.006471505119080456
US9433669-B2,0.33506350684971675,1.0,0.3503276975037026,0.33721730580137416,1.0,0.3488525769770423,-0.002153798951657404,0.0,0.0014751205266602674
US11576966-B2,0.33506350684971675,1.0,0.3503276975037026,0.33430426374089206,1.0,0.3488388536421321,0.000759243108824692,0.0,0.001488843861570499
US9433670-B2,0.33506350684971675,1.0,0.3503276975037026,0.33721730580137416,1.0,0.3488525769770423,-0.002153798951657404,0.0,0.0014751205266602674
US6500419-B1,0.33506350684971675,1.0,0.3503276975037026,0.31884161850580894,0.0,0.34260923597890014,0.01622188834390781,1.0,0.0077184615248024335
CN110167587-A,0.33506350684971675,1.0,0.3503276975037026,0.33545184666786804,1.0,0.34563381933350584,-0.00038833981815128427,0.0,0.00469387817019673
US6830748-B1,0.33506350684971675,1.0,0.3503276975037026,0.3338750802680933,0.0,0.34516835559370584,0.0011884265816234363,1.0,0.005159341909996729
US10307472-B2,0.33506350684971675,1.0,0.3503276975037026,0.33580026036963145,1.0,0.34889471772714764,-0.0007367535199147013,0.0,0.0014329797765549324
US10596252-B2,0.33506350684971675,1.0,0.3503276975037026,0.3353201568237891,1.0,0.3536099294827533,-0.0002566499740723205,0.0,-0.0032822319790507537
US11103578-B2,0.33506350684971675,1.0,0.3503276975037026,0.3325764929865724,1.0,0.3456739947779522,0.0024870138631443717,0.0,0.004653702725750386
US11248264-B2,0.33506350684971675,1.0,0.3503276975037026,0.33694408072963455,1.0,0.3256993290450334,-0.0018805738799178018,0.0,0.02462836845866917
US9623095-B2,0.33506350684971675,1.0,0.3503276975037026,0.3345277602191295,1.0,0.3521095929226184,0.0005357466305872527,0.0,-0.0017818954189158243
US8093033-B2,0.33506350684971675,1.0,0.3503276975037026,0.3268461034856418,0.0,0.34988811960550525,0.008217403364074949,1.0,0.00043957789819731863
US8158601-B2,0.33506350684971675,1.0,0.3503276975037026,0.322539093070856,0.0,0.3521540939023859,0.012524413778860766,1.0,-0.0018263963986833165
EP3473267-A1,0.33506350684971675,1.0,0.3503276975037026,0.3371284465113456,1.0,0.3463482965966557,-0.0020649396616288507,0.0,0.003979400907046848
US10272150-B2,0.33506350684971675,1.0,0.3503276975037026,0.3331348579254684,1.0,0.3536236178747529,0.0019286489242483773,0.0,-0.0032959203710503093
WO2003051401-A3,0.33506350684971675,1.0,0.3503276975037026,0.3369802640820315,1.0,0.36496949840369824,-0.0019167572323147697,0.0,-0.014641800899995672
US11771652-B2,0.33506350684971675,1.0,0.3503276975037026,0.3342485777496815,1.0,0.3521540939023859,0.0008149291000352776,0.0,-0.0018263963986833165
US9439956-B2,0.33506350684971675,1.0,0.3503276975037026,0.33721730580137427,1.0,0.3488525769770423,-0.002153798951657515,0.0,0.0014751205266602674
WO2021159985-A1,0.33506350684971675,1.0,0.3503276975037026,0.3348197354162884,1.0,0.3398894653590635,0.0002437714334283525,0.0,0.01043823214463907
US9005925-B2,0.33506350684971675,1.0,0.3503276975037026,0.33670873216542985,1.0,0.3537229278650923,-0.0016452253157130947,0.0,-0.003395230361389723
US5654136-A,0.33506350684971675,1.0,0.3503276975037026,0.33748789707623217,1.0,0.3534279426143548,-0.002424390226515416,0.0,-0.003100245110652211
US11026964-B2,0.33506350684971675,1.0,0.3503276975037026,0.3343958195372525,0.0,0.3540179131158297,0.0006676873124642491,1.0,-0.0036902156121271235
US6150170-A,0.33506350684971675,1.0,0.3503276975037026,0.33681747035096965,1.0,0.3534279426143548,-0.0017539635012528976,0.0,-0.003100245110652211
US10729761-B2,0.33506350684971675,1.0,0.3503276975037026,0.3353201568237893,1.0,0.3536099294827533,-0.00025664997407254253,0.0,-0.0032822319790507537
US5877159-A,0.33506350684971675,1.0,0.3503276975037026,0.3272355291674181,0.0,0.353693068401447,0.007827977682298648,1.0,-0.003365370897744413
US11497807-B2,0.33506350684971675,1.0,0.3503276975037026,0.3335747020046936,1.0,0.34679874095654745,0.0014888048450231728,0.0,0.0035289565471551265
US11771653-B2,0.33506350684971675,1.0,0.3503276975037026,0.3342485777496818,1.0,0.3521540939023859,0.0008149291000349446,0.0,-0.0018263963986833165
US6664066-B2,0.33506350684971675,1.0,0.3503276975037026,0.3369802640820314,1.0,0.36496949840369824,-0.0019167572323146587,0.0,-0.014641800899995672
US9463228-B2,0.33506350684971675,1.0,0.3503276975037026,0.3372173058013742,1.0,0.3488525769770423,-0.0021537989516574596,0.0,0.0014751205266602674
US11364292-B2,0.33506350684971675,1.0,0.3503276975037026,0.3335615330202856,1.0,0.34848304254752455,0.0015019738294311247,0.0,0.0018446549561780268
US10695419-B2,0.33506350684971675,1.0,0.3503276975037026,0.3319601845162822,1.0,0.34172530145499347,0.003103322333434577,0.0,0.008602396048709104
US9394234-B2,0.33506350684971675,1.0,0.3503276975037026,0.3363347330082448,1.0,0.35460788361730466,-0.0012712261585280382,0.0,-0.004280186113602091
US5716821-A,0.33506350684971675,1.0,0.3503276975037026,0.33606458069953354,1.0,0.3513630458591926,-0.0010010738498167915,0.0,-0.0010353483554900178
US6428324-B1,0.33506350684971675,1.0,0.3503276975037026,0.33187565217827575,1.0,0.35637779512172946,0.003187854671441004,0.0,-0.006050097618026884
US11752206-B2,0.33506350684971675,1.0,0.3503276975037026,0.33306111161278457,1.0,0.34786713390321433,0.0020023952369321862,0.0,0.0024605636004882414
