PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US9737595-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9234013-B2,3,0,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US8968746-B2,6,2,8,0.03902327472503229,0.33506350684971675,9.937394415184339e-05,0,0.35714285714285715,114,0.3266
US9352028-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9402887-B2,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US10434154-B2,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
WO2008052770-A3,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9155788-B2,11,2,13,0.03902327472503229,0.33506350684971675,9.937394415184339e-05,0,0.2564102564102564,114,0.3266
US9433669-B2,0,3,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US9433670-B2,0,3,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US9439956-B2,0,3,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US9463228-B2,0,3,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US9655955-B2,0,3,3,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US11872280-B2,1,10,11,0.03902327472503229,0.33506350684971675,1.9322711362858436e-05,0,0.23636363636363636,114,0.3266
US11918643-B2,1,12,13,0.03902327472503229,0.33506350684971675,1.9322711362858436e-05,0,0.34615384615384615,114,0.3266
US11241493-B2,6,1,7,0.03902327472503229,0.33506350684971675,0.0,0,0.5714285714285714,114,0.3266
US11576966-B2,2,6,8,0.03902327472503229,0.33506350684971675,0.0,0,0.5357142857142857,114,0.3266
US11596686-B2,2,6,8,0.03902327472503229,0.33506350684971675,0.0,0,0.5357142857142857,114,0.3266
US12194089-B2,0,10,10,0.03902327472503229,0.33506350684971675,0.0,0,0.6222222222222222,114,0.3266
US11207398-B2,0,10,10,0.03902327472503229,0.33506350684971675,0.0,0,0.8222222222222222,114,0.3266
US11103578-B2,10,11,21,0.03902327472503229,0.33506350684971675,0.0001500960614793468,0,0.6428571428571429,114,0.3266
US10925958-B2,15,10,25,0.03902327472503229,0.33506350684971675,1.6677340164371866e-05,0,0.62,114,0.3266
US11696946-B2,1,16,17,0.03902327472503229,0.33506350684971675,9.201291125170685e-06,0,0.7205882352941176,114,0.3266
