Source,Target,Weight
EP2393917-B1,CN110381967-A,1
EP2393917-B1,US11066650-B2,1
EP2393917-B1,US11053477-B2,1
US10179176-B2,US11066650-B2,1
US10179176-B2,US11053477-B2,1
WO2005097974-A3,US9771562-B2,1
US10545133-B2,US11066650-B2,1
US10545133-B2,US11053477-B2,1
US10087416-B2,US11066650-B2,1
US10087416-B2,US11053477-B2,1
WO2003082201-A2,US11066650-B2,1
WO2003082201-A2,US10174289-B2,1
WO2003082201-A2,US11053477-B2,1
US9856458-B2,US11066650-B2,1
US9856458-B2,US10174289-B2,1
US9856458-B2,US11053477-B2,1
US10472612-B2,US11066650-B2,1
US10472612-B2,US11053477-B2,1
US10369254-B2,US11066650-B2,1
US10369254-B2,US11053477-B2,1
WO2018197544-A1,US11066650-B2,1
WO2018197544-A1,US11053477-B2,1
US10597633-B2,US11725184-B2,1
US7695958-B2,US11066650-B2,1
US7695958-B2,US11053477-B2,1
CN103237888-A,CN110381967-A,1
CN103237888-A,CN109415680-A,1
CN103237888-A,CN109477070-A,1
CN103237888-A,US11725184-B2,1
CN105358677-A,CN110249044-A,1
CN105358677-A,CN109415680-A,1
CN105358677-A,CN110809625-A,1
US9771562-B2,US11066650-B2,1
US9771562-B2,US10174289-B2,1
US9771562-B2,US11053477-B2,1
EP2393917-A2,US11066650-B2,1
EP2393917-A2,US11053477-B2,1
US9127254-B2,US11066650-B2,1
US9127254-B2,US10174289-B2,1
US9127254-B2,US11053477-B2,1
CN103502426-A,CN109661460-A,1
US8298822-B2,US11066650-B2,1
US8298822-B2,US10174289-B2,1
US8298822-B2,US11053477-B2,1
EP2542663-B1,US9856458-B2,1
EP3318627-A1,US11725184-B2,1
EP3441458-A1,US11725184-B2,1
US10174289-B2,US11066650-B2,1
US10174289-B2,US11053477-B2,1
WO2012014076-A3,US10597633-B2,1
WO2016168950-A1,US11066650-B2,1
WO2016168950-A1,US10174289-B2,1
WO2016168950-A1,US11053477-B2,1
US9375514-B2,US11066650-B2,1
US9375514-B2,US10174289-B2,1
US9375514-B2,US11053477-B2,1
WO2012168930-A3,US9765301-B2,1
WO2013127921-A1,US11066650-B2,1
WO2013127921-A1,US10174289-B2,1
WO2013127921-A1,US11053477-B2,1
WO2014053596-A1,US11066650-B2,1
WO2014053596-A1,US10174289-B2,1
WO2014053596-A1,US11053477-B2,1
WO2013155060-A1,US11066650-B2,1
WO2013155060-A1,US10174289-B2,1
WO2013155060-A1,US11053477-B2,1
US9765301-B2,US11066650-B2,1
US9765301-B2,US10174289-B2,1
US9765301-B2,US11053477-B2,1
US9765301-B2,US10006904-B2,1
US10222370-B2,US11066650-B2,1
US10222370-B2,US11053477-B2,1
US10426757-B2,US11066650-B2,1
US10426757-B2,US11053477-B2,1
US10532111-B2,US11066650-B2,1
US10532111-B2,US11053477-B2,1
US9914920-B2,US11066650-B2,1
US9914920-B2,US10174289-B2,1
US9914920-B2,US11053477-B2,1
CN105378062-A,CN109415680-A,1
WO2016085765-A1,US11066650-B2,1
WO2016085765-A1,US10174289-B2,1
WO2016085765-A1,US11053477-B2,1
CN105026552-A,CN109661460-A,1
CN105026552-A,CN109415680-A,1
CN104024401-A,CN109415680-A,1
CN104024401-A,CN109996870-A,1
CN104024401-A,CN110809625-A,1
US8603809-B2,US11066650-B2,1
US8603809-B2,US10174289-B2,1
US8603809-B2,US11053477-B2,1
