node,networkEfficiency_before,ClusteringCoefficient_before,networkEfficiency_after,ClusteringCoefficient_after,connectivity_after,efficiency_change,clustering_change
EP2393917-B1,0.3528453159041394,0.16692363555108655,0.5357862903225806,0.2662339743589744,0.6274509803921569,-0.1829409744184412,-0.09931033880788784
CN110381967-A,0.3528453159041394,0.16692363555108655,0.5342487373737373,0.2579728913062247,0.6470588235294118,-0.18140342146959793,-0.09104925575513814
US10179176-B2,0.3528453159041394,0.16692363555108655,0.35131033365727266,0.1703897435897436,0.9803921568627451,0.0015349822468667673,-0.0034661080386570453
WO2005097974-A3,0.3528453159041394,0.16692363555108655,0.3555986394557819,0.17692877492877493,0.9803921568627451,-0.0027533235516424837,-0.010005139377688377
US10545133-B2,0.3528453159041394,0.16692363555108655,0.35131033365727266,0.1703897435897436,0.9803921568627451,0.0015349822468667673,-0.0034661080386570453
US10087416-B2,0.3528453159041394,0.16692363555108655,0.35131033365727266,0.1703897435897436,0.9803921568627451,0.0015349822468667673,-0.0034661080386570453
CN109415680-A,0.3528453159041394,0.16692363555108655,0.42991289198606447,0.20763671739281497,0.803921568627451,-0.07706757608192505,-0.04071308184172842
WO2003082201-A2,0.3528453159041394,0.16692363555108655,0.35090217039196653,0.15721904761904765,0.9803921568627451,0.0019431455121728947,0.009704587932038905
US9856458-B2,0.3528453159041394,0.16692363555108655,0.3536726595400067,0.16723032069970847,0.9607843137254902,-0.0008273436358672837,-0.0003066851486219213
US11066650-B2,0.3528453159041394,0.16692363555108655,0.3399332685455136,0.24013105413105415,0.9803921568627451,0.012912047358625833,-0.0732074185799676
US10472612-B2,0.3528453159041394,0.16692363555108655,0.35131033365727266,0.1703897435897436,0.9803921568627451,0.0015349822468667673,-0.0034661080386570453
WO2018197544-A1,0.3528453159041394,0.16692363555108655,0.35131033365727266,0.1703897435897436,0.9803921568627451,0.0015349822468667673,-0.0034661080386570453
US10597633-B2,0.3528453159041394,0.16692363555108655,0.36500782852823704,0.17373684516541663,0.9607843137254902,-0.012162512624097621,-0.0068132096143300735
US7695958-B2,0.3528453159041394,0.16692363555108655,0.3513103336572729,0.1703897435897436,0.9803921568627451,0.0015349822468665453,-0.0034661080386570453
US8603809-B2,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
CN103237888-A,0.3528453159041394,0.16692363555108655,0.5236185383244206,0.2503854533266298,0.6666666666666666,-0.1707732224202812,-0.08346181777554326
CN105358677-A,0.3528453159041394,0.16692363555108655,0.36323021272000894,0.17373684516541663,0.9607843137254902,-0.010384896815869515,-0.0068132096143300735
US9771562-B2,0.3528453159041394,0.16692363555108655,0.35367265954000654,0.16723032069970847,0.9607843137254902,-0.0008273436358671171,-0.0003066851486219213
EP2393917-A2,0.3528453159041394,0.16692363555108655,0.3513103336572729,0.1703897435897436,0.9803921568627451,0.0015349822468665453,-0.0034661080386570453
US9127254-B2,0.3528453159041394,0.16692363555108655,0.3509021703919668,0.15721904761904765,0.9803921568627451,0.001943145512172617,0.009704587932038905
CN103502426-A,0.3528453159041394,0.16692363555108655,0.360044703595724,0.17026210826210827,0.9803921568627451,-0.007199387691584569,-0.0033384727110217227
US8298822-B2,0.3528453159041394,0.16692363555108655,0.3509021703919668,0.15721904761904765,0.9803921568627451,0.001943145512172617,0.009704587932038905
EP2542663-B1,0.3528453159041394,0.16692363555108655,0.3555986394557824,0.17692877492877493,0.9803921568627451,-0.0027533235516429833,-0.010005139377688377
CN109477070-A,0.3528453159041394,0.16692363555108655,0.3566485260770977,0.17026210826210827,0.9803921568627451,-0.00380321017295826,-0.0033384727110217227
EP3318627-A1,0.3528453159041394,0.16692363555108655,0.35797797214123733,0.17026210826210827,0.9803921568627451,-0.00513265623709791,-0.0033384727110217227
EP3441458-A1,0.3528453159041394,0.16692363555108655,0.35797797214123733,0.17026210826210827,0.9803921568627451,-0.00513265623709791,-0.0033384727110217227
CN110249044-A,0.3528453159041394,0.16692363555108655,0.3588409459021702,0.17026210826210827,0.9803921568627451,-0.0059956299980307715,-0.0033384727110217227
US10174289-B2,0.3528453159041394,0.16692363555108655,0.34505183025591235,0.0,0.9803921568627451,0.007793485648227072,0.16692363555108655
WO2012014076-A3,0.3528453159041394,0.16692363555108655,0.359404599935212,0.17026210826210827,0.9803921568627451,-0.0065592840310725875,-0.0033384727110217227
WO2016168950-A1,0.3528453159041394,0.16692363555108655,0.3509021703919668,0.15721904761904765,0.9803921568627451,0.001943145512172617,0.009704587932038905
CN110809625-A,0.3528453159041394,0.16692363555108655,0.35809264658244294,0.17026210826210827,0.9803921568627451,-0.005247330678303519,-0.0033384727110217227
US9375514-B2,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
WO2012168930-A3,0.3528453159041394,0.16692363555108655,0.35539455782312895,0.17292877492877495,0.9803921568627451,-0.002549241918989531,-0.006005139377688401
WO2013127921-A1,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
CN109996870-A,0.3528453159041394,0.16692363555108655,0.3588409459021708,0.17026210826210827,0.9803921568627451,-0.005995629998031382,-0.0033384727110217227
WO2014053596-A1,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
WO2013155060-A1,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
US11725184-B2,0.3528453159041394,0.16692363555108655,0.3835488076067774,0.1850675089805525,0.9019607843137255,-0.030703491702637975,-0.01814387342946594
US9765301-B2,0.3528453159041394,0.16692363555108655,0.3563678515141277,0.1734920634920635,0.9411764705882353,-0.0035225356099882754,-0.006568427940976951
US11053477-B2,0.3528453159041394,0.16692363555108655,0.3399332685455135,0.2401310541310541,0.9803921568627451,0.012912047358625944,-0.07320741857996754
US10222370-B2,0.3528453159041394,0.16692363555108655,0.35131033365727243,0.1703897435897436,0.9803921568627451,0.0015349822468669894,-0.0034661080386570453
US10426757-B2,0.3528453159041394,0.16692363555108655,0.35131033365727243,0.1703897435897436,0.9803921568627451,0.0015349822468669894,-0.0034661080386570453
US10532111-B2,0.3528453159041394,0.16692363555108655,0.35131033365727243,0.1703897435897436,0.9803921568627451,0.0015349822468669894,-0.0034661080386570453
US9914920-B2,0.3528453159041394,0.16692363555108655,0.3509021703919663,0.15721904761904765,0.9803921568627451,0.0019431455121731167,0.009704587932038905
CN105378062-A,0.3528453159041394,0.16692363555108655,0.3573793326854556,0.17026210826210827,0.9803921568627451,-0.0045340167813161525,-0.0033384727110217227
