Source,Target,Weight
CA2937882-A1,EP3485001-A4,1.0
CA2937882-A1,EP3936610-A1,1.0
CA2937882-A1,US11760977-B2,1.0
CA2937882-A1,US11685901-B2,1.0
WO2013138510-A9,US11434524-B2,1.0
WO2013138510-A9,US11624086-B2,1.0
US11434524-B2,US11624086-B2,1.0
WO2010129294-A2,EP3950937-A1,1.0
CN101148656-A,CN110268056-A,1.0
US3941662-A,US11773359-B2,1.0
US3941662-A,US10472612-B2,1.0
US3941662-A,US10655098-B2,1.0
US3941662-A,US10954482-B2,1.0
US10472612-B2,US11767515-B2,1.0
US10472612-B2,US11053477-B2,1.0
US10472612-B2,US11066650-B2,1.0
WO2018045181-A1,US11434524-B2,1.0
WO2018045181-A1,US11624086-B2,1.0
CN110628864-A,CN112195152-B,1.0
US20180320141-A1,US11629329-B2,1.0
US20160272940-A1,CN110573609-A,1.0
US20130143254-A1,US11661574-B2,1.0
US20170362573-A1,US2020157507-A1,1.0
US20170362573-A1,US11767515-B2,1.0
US20170362573-A1,US11053477-B2,1.0
US20170362573-A1,US11066650-B2,1.0
US20170362573-A1,US11859212-B2,1.0
US11053477-B2,US11767515-B2,1.0
US11066650-B2,US11767515-B2,1.0
US20050202433-A1,US11434524-B2,1.0
US20050202433-A1,US11624086-B2,1.0
WO2015184273-A1,US11767515-B2,1.0
WO2015184273-A1,US11053477-B2,1.0
WO2015184273-A1,US11066650-B2,1.0
WO2015184273-A1,US10174289-B2,1.0
US10174289-B2,US11767515-B2,1.0
US10174289-B2,US11053477-B2,1.0
US10174289-B2,US11066650-B2,1.0
US10174289-B2,US11473061-B2,1.0
US5618718-A,US2003027202-A1,1.0
WO2016114769-A1,US11053477-B2,1.0
US7642091-B2,US8293223-B2,1.0
US6943191-B1,US10041046-B2,1.0
US6943191-B1,US10954490-B2,1.0
US6943191-B1,US10041047-B2,1.0
US10041046-B2,US10954490-B2,1.0
US10041047-B2,US10954490-B2,1.0
EP294647-A,EP3884935-A1,1.0
