node,networkEfficiency_before,Connectivity_before,ClusteringCoefficient_before,networkEfficiency_after,Connectivity_after,ClusteringCoefficient_after
US20150265652-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17571065438798836,0.7373784159333024,0.23681626233884956
EP3766965-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757148865368558,0.7373784159333024,0.2368256065300688
US2021355438-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577472886828704,0.7373784159333024,0.23681625919817118
US11473061-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.16632839190811677,0.7373784159333024,0.23647475275409177
US20180051248-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577579223378392,0.7373784159333024,0.23681625919817118
WO2017160234-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17573390667757272,0.7373784159333024,0.2367882347393872
US11767515-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17078488694587843,0.7373784159333024,0.22142297956950546
US11066650-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17564701460124651,0.7373784159333024,0.24456066031606827
US10174289-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.174762530573143,0.7373784159333024,0.22984281919598903
US11053477-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17564705570776495,0.7373784159333024,0.2445606620982952
CN114026222-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576390393981242,0.7373784159333024,0.23682798585091544
CN112996906-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576598598213197,0.7373784159333024,0.23682798585091544
EP3882342-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576598598213197,0.7373784159333024,0.23682798585091544
EP2743345-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17495380654332274,0.7373784159333024,0.23681625919817118
CN110050059-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17500931242206416,0.7373784159333024,0.23681625919817118
US11561178-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17399965801640288,0.7373784159333024,0.23685520646947228
US11629385-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757565748052003,0.7373784159333024,0.23685520646947228
JP2010529177-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17578480681222003,0.7373784159333024,0.23681625919817118
US2019351098-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17578957377773807,0.7373784159333024,0.23681625919817118
US11179495-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17546753662296638,0.7373784159333024,0.23681625919817118
WO2006011296-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17578480681222003,0.7373784159333024,0.23681625919817118
WO2013099273-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17578508880303315,0.7373784159333024,0.23681625919817118
JP2010273847-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
JP2012115254-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
US4511653-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
US20050129730-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
US20120121793-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
WO2015072164-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
WO2016027853-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
WO2016093362-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
US20160122723-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
EP3578638-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579666488847012,0.7373784159333024,0.23681625919817118
US20160251626-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
WO2011139228-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17579349651637705,0.7373784159333024,0.23681625919817118
US20050288796-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
US20070269476-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
US20170232144-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
US7201917-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
JP2010529177-W,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
WO2009007531-A2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757935294016032,0.7373784159333024,0.23681625919817118
CN102388130-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577568976107155,0.7373784159333024,0.23681625919817118
CN110520167-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17551307326401733,0.7373784159333024,0.23681659910114924
CN104520422-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577568976107155,0.7373784159333024,0.23681625919817118
CN106163572-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577568976107155,0.7373784159333024,0.23681625919817118
WO2016100869-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17577568976107155,0.7373784159333024,0.23681625919817118
WO2016141137-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1742128765672202,0.7373784159333024,0.2368442847404749
WO2018050862-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576274751518142,0.7373784159333024,0.2367274878703923
EP3515600-B1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576498856503908,0.7373784159333024,0.2368296853658059
US11559607-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17445115435805833,0.7373784159333024,0.23681659910114924
EP3430132-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757132811968487,0.7373784159333024,0.2368315548321854
US11214768-B2,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17515243424120752,0.7373784159333024,0.23684838002960107
WO2022076784-A1,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757148050711779,0.7373784159333024,0.23681659910114924
EP3993812-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.175714759853992,0.7373784159333024,0.23681659910114924
EP3949730-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1756643721193751,0.7373784159333024,0.23681659910114924
CN111386335-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.1757065160144139,0.7373784159333024,0.23681659910114924
EP3705568-A4,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576520513774233,0.7373784159333024,0.23681659910114924
CN111201047-A,0.17577097536083552,0.7374942102825383,0.23677907655423994,0.17576502180260678,0.7373784159333024,0.23681659910114924
