PatentNumber,InDegree,OutDegree,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US20150265652-A1,0,3,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
EP3766965-A4,3,0,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US2021355438-A1,1,0,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US11473061-B2,172,0,172,0.09688046857484466,0.17577097536083552,0.0,0,0.001699986400108799,6369,0.7375
US20180051248-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2017160234-A1,0,8,8,0.09688046857484466,0.17577097536083552,0.0,0,0.17857142857142858,6369,0.7375
US11767515-B2,476,0,476,0.09688046857484466,0.17577097536083552,0.0,0,0.010429013710747457,6369,0.7375
US11066650-B2,426,1,427,0.09688046857484466,0.17577097536083552,2.459048240132946e-08,0,0.008334157953183582,6369,0.7375
US10174289-B2,317,4,321,0.09688046857484466,0.17577097536083552,6.60366227395702e-06,0,0.018944704049844236,6369,0.7375
US11053477-B2,425,1,426,0.09688046857484466,0.17577097536083552,2.459048240132946e-08,0,0.008351284175642088,6369,0.7375
CN114026222-A,3,0,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN112996906-A,2,0,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
EP3882342-A4,2,0,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
GB1159402-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US10416427-B2,17,0,17,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3609225-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3627921-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3632867-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3643016-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3646255-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3646256-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3670099-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3912861-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3919464-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US3955045-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US4228469-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US5568270-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US5684601-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US5719970-A,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US7941286-B2,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
US6438201-B1,0,1,1,0.09688046857484466,0.5555555555555556,0.0,0,0.0,18,0.0021
WO2003000848-A2,0,1,1,0.09688046857484466,1.0,0.0,0,0.0,2,0.0002
US2019374583-A1,1,0,1,0.09688046857484466,1.0,0.0,0,0.0,2,0.0002
US20160058794-A1,0,1,1,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
CN110869032-A,3,0,3,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
US9493532-B2,0,1,1,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
WO2014138486-A1,0,2,2,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
EP3582794-A4,2,0,2,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
US20110002899-A1,0,1,1,0.09688046857484466,0.6000000000000001,0.0,0,0.0,6,0.0007
EP2743345-A1,0,3,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN110050059-A,4,0,4,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US11561178-B2,30,0,30,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US11629385-B2,14,0,14,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
JP2010529177-A,0,3,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US2019351098-A1,10,0,10,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US11179495-B2,19,0,19,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2006011296-A1,0,3,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2013099273-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
JP2010273847-A,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
JP2012115254-A,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US4511653-A,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20050129730-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20120121793-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2015072164-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2016027853-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2016093362-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20160122723-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
EP3578638-A4,3,0,3,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20160251626-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2011139228-A1,0,2,2,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20050288796-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20070269476-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US20170232144-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
US7201917-B2,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
JP2010529177-W,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2009007531-A2,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN102388130-A,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN110520167-A,6,0,6,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN104520422-A,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
CN106163572-A,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2016100869-A1,0,1,1,0.09688046857484466,0.17577097536083552,0.0,0,0.0,6369,0.7375
WO2016141137-A1,0,22,22,0.09688046857484466,0.17577097536083552,0.0,0,0.021645021645021644,6369,0.7375
WO2018050862-A1,3,2,5,0.09688046857484466,0.17577097536083552,5.365196160290064e-08,0,0.2,6369,0.7375
